size (MB),0,1,2,3,4,5,6
1,10.40,11.64,10.85,11.37,11.25,10.86,10.93
2,13.26,13.28,14.54,14.67,13.43,13.61,13.85
4,14.91,15.23,23.30,30.35,19.52,23.85,17.06
8,83.14,14.94,72.94,54.42,61.65,56.28,45.20
16,121.83,51.10,132.23,102.48,20.23,107.99,111.21
32,199.53,93.44,218.35,74.52,194.65,147.41,139.09
64,213.98,124.43,123.46,113.67,114.59,101.05,104.98
128,194.24,177.20,230.91,97.93,164.09,106.95,153.56
256,279.73,208.69,196.99,148.11,206.77,124.44,100.52
512,365.07,258.99,200.83,220.30,180.17,156.39,118.40
1024,404.09,371.88,319.67,187.95,272.75,151.64,120.21
2048,425.04,231.96,269.15,125.75,325.44,218.10,165.06
