size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,13.76,11.98,12.55,13.24,12.84,12.35,12.38,12.10,12.95,13.92,13.24,15.25,12.19,11.87
2,29.28,14.86,17.50,19.60,15.81,14.80,15.55,27.77,20.58,14.82,15.12,14.83,27.67,17.10
4,16.43,31.38,20.33,51.71,21.66,16.92,17.70,16.83,30.61,17.46,16.85,16.57,42.48,27.11
8,70.03,46.18,45.73,89.32,80.57,18.35,17.00,19.16,86.72,55.32,28.71,110.25,77.81,47.64
16,183.41,101.35,191.76,195.20,34.55,95.51,57.64,116.99,87.61,130.22,141.89,31.09,51.03,103.23
32,198.77,97.26,143.81,128.05,111.58,103.70,103.93,93.03,223.44,114.14,155.77,110.73,89.63,106.82
64,149.68,141.51,123.24,124.59,213.38,98.43,118.49,258.44,123.40,113.86,186.52,87.55,135.94,228.47
128,183.43,177.01,196.79,184.49,223.78,93.59,122.72,242.76,189.83,193.33,179.74,92.89,122.34,173.67
256,299.86,224.14,223.21,212.57,162.32,102.61,141.09,288.78,278.75,125.79,214.66,163.86,133.29,106.53
512,368.56,287.48,289.41,216.74,258.11,126.58,155.81,394.71,291.54,257.18,217.07,151.14,131.06,122.77
1024,465.32,353.00,397.95,255.69,271.40,113.91,191.78,474.04,420.75,202.36,376.90,152.61,127.36,132.42
2048,459.05,356.21,425.41,253.91,265.99,125.57,215.36,455.30,376.96,321.98,284.79,289.16,128.92,200.29
