size (MB),0,1,2,3,4,5,6
1,11.83,12.32,13.85,11.75,14.36,15.36,18.73
2,14.79,14.77,15.72,15.57,15.10,14.80,22.66
4,14.19,25.29,18.81,18.66,19.36,20.98,18.00
8,90.68,70.91,50.90,47.72,46.06,45.18,55.71
16,88.60,125.46,93.92,75.02,100.43,85.68,74.02
32,207.94,229.80,208.10,145.74,61.67,83.85,109.92
64,257.49,119.37,140.36,107.37,101.53,129.39,109.80
128,247.63,195.58,190.05,199.33,98.65,126.73,99.38
256,277.82,220.90,225.94,150.76,105.88,112.92,149.50
512,311.96,279.80,332.70,207.87,131.54,126.46,119.10
1024,420.06,336.20,395.30,314.35,121.08,206.70,184.67
2048,436.68,302.73,309.93,196.84,123.45,183.79,297.74
