size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,12.04,12.78,13.84,11.86,15.25,17.74,12.30,11.91,14.04,13.77,11.87,14.70,12.70,11.90
2,14.95,15.15,15.54,15.25,15.34,14.84,17.37,15.00,15.65,16.59,14.89,22.21,15.70,15.39
4,46.38,20.05,19.86,16.76,21.39,19.18,22.75,18.34,27.41,24.72,17.57,27.19,18.15,21.70
8,18.82,73.10,37.17,107.08,30.77,40.14,36.51,20.51,60.24,50.15,17.37,85.09,17.53,32.00
16,158.02,99.82,142.34,125.93,116.50,70.47,22.22,106.44,95.16,141.15,64.40,68.47,93.81,93.74
32,135.85,117.63,111.09,81.06,168.23,122.70,102.24,242.59,168.73,80.82,245.05,136.18,74.99,149.89
64,120.31,116.33,170.08,109.29,158.85,116.51,124.05,162.14,162.57,130.73,109.67,122.41,100.45,115.67
128,228.24,216.41,205.73,108.37,206.53,102.45,109.40,249.21,156.98,244.68,156.36,172.27,115.68,100.83
256,329.46,240.44,250.86,106.18,184.48,160.91,111.30,268.90,251.33,257.41,116.23,116.09,113.36,132.77
512,402.06,332.56,313.80,162.47,186.28,127.16,126.32,343.54,274.93,385.58,123.13,262.13,137.75,131.54
1024,421.90,346.46,417.15,129.81,333.15,206.20,180.36,409.62,366.69,378.64,258.33,303.01,164.35,127.52
2048,469.08,383.59,313.83,213.31,247.15,133.44,183.34,459.93,288.07,377.66,216.82,283.93,247.40,131.78
