rank,cpu_id,cpu_numa,memory_numa
0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,1,1
17,17,1,1
18,18,1,1
19,19,1,1
20,20,1,1
21,21,1,1
22,22,1,1
23,23,1,1
24,24,1,1
25,25,1,1
26,26,1,1
27,27,1,1
28,28,1,1
29,29,1,1
30,30,1,1
31,31,1,1
32,32,2,2
33,33,2,2
34,34,2,2
35,35,2,2
36,36,2,2
37,37,2,2
38,38,2,2
39,39,2,2
40,40,2,2
41,41,2,2
42,42,2,2
43,43,2,2
44,44,2,2
45,45,2,2
46,46,2,2
47,47,2,2
48,48,3,3
49,49,3,3
50,50,3,3
51,51,3,3
52,52,3,3
53,53,3,3
54,54,3,3
55,55,3,3
56,56,3,3
57,57,3,3
58,58,3,3
59,59,3,3
60,60,3,3
61,61,3,3
62,62,3,3
63,63,3,3
64,64,4,4
65,65,4,4
66,66,4,4
67,67,4,4
68,68,4,4
69,69,4,4
70,70,4,4
71,71,4,4
72,72,4,4
73,73,4,4
74,74,4,4
75,75,4,4
76,76,4,4
77,77,4,4
78,78,4,4
79,79,4,4
80,80,5,5
81,81,5,5
82,82,5,5
83,83,5,5
84,84,5,5
85,85,5,5
86,86,5,5
87,87,5,5
88,88,5,5
89,89,5,5
90,90,5,5
91,91,5,5
92,92,5,5
93,93,5,5
94,94,5,5
95,95,5,5
96,96,6,6
97,97,6,6
98,98,6,6
99,99,6,6
100,100,6,6
101,101,6,6
102,102,6,6
103,103,6,6
104,104,6,6
105,105,6,6
106,106,6,6
107,107,6,6
108,108,6,6
109,109,6,6
110,110,6,6
111,111,6,6
112,112,7,7
113,113,7,7
114,114,7,7
115,115,7,7
116,116,7,7
117,117,7,7
118,118,7,7
119,119,7,7
120,120,7,7
121,121,7,7
122,122,7,7
123,123,7,7
124,124,7,7
125,125,7,7
126,126,7,7
127,127,7,7
