rank,cpu_id,cpu_numa,memory_numa
0,1,0,0
1,2,0,0
2,3,0,0
3,4,0,0
4,5,0,0
5,6,0,0
6,7,0,0
7,9,0,0
8,10,0,0
9,11,0,0
10,12,0,0
11,13,0,0
12,14,0,0
13,15,0,0
14,17,1,1
15,18,1,1
16,19,1,1
17,20,1,1
18,21,1,1
19,22,1,1
20,23,1,1
21,25,1,1
22,26,1,1
23,27,1,1
24,28,1,1
25,29,1,1
26,30,1,1
27,31,1,1
28,33,2,2
29,34,2,2
30,35,2,2
31,36,2,2
32,37,2,2
33,38,2,2
34,39,2,2
35,41,2,2
36,42,2,2
37,43,2,2
38,44,2,2
39,45,2,2
40,46,2,2
41,47,2,2
42,49,3,3
43,50,3,3
44,51,3,3
45,52,3,3
46,53,3,3
47,54,3,3
48,55,3,3
49,57,3,3
50,58,3,3
51,59,3,3
52,60,3,3
53,61,3,3
54,62,3,3
55,63,3,3
