size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
1,11.69,15.86,13.84,11.69,13.06,11.76,13.68,12.95,13.25,11.83,13.81,12.10,13.09,12.71,14.42,11.82,11.86,12.15,11.98,16.71,11.68,14.67,13.27,12.58,16.21,11.92,12.12,15.42,11.94,12.00,12.15,12.01,12.34,12.74,11.89,12.49,12.81,12.96,13.67,12.35,11.81,12.13,12.19,13.21,14.94,15.02,15.46,12.15,11.85,12.60,12.22,11.95,12.10,11.75,12.07,11.69,13.27,14.62,11.98,13.59,12.01,12.68,13.33,12.87,11.97,12.66,13.05,12.14,12.38,12.72,12.83,17.98,16.11,11.86,11.85,12.82,11.98,12.17,12.32,11.69,12.95,12.71,11.82,12.57,11.71,11.96,12.16,12.40,12.38,12.33,11.98,12.90,11.74,12.39,11.85,11.76,12.38,11.98,11.98,12.14,12.01,12.67,16.47,16.26
2,16.39,16.16,24.03,18.98,23.12,17.36,18.81,21.15,18.23,15.03,18.99,15.21,18.24,16.59,15.69,14.80,15.05,15.36,14.83,15.42,20.95,18.92,21.15,18.72,15.97,15.08,16.02,14.70,14.84,15.24,15.14,16.77,15.59,24.16,16.25,27.62,15.09,15.42,30.55,16.53,14.70,18.86,16.67,15.02,17.85,15.85,14.68,15.41,15.63,18.92,20.33,15.09,17.00,15.27,27.27,23.43,24.05,14.92,15.39,17.08,15.29,22.63,15.00,21.97,28.23,18.23,14.98,15.07,14.76,15.21,21.73,17.98,18.34,14.99,14.87,15.22,16.68,18.53,14.88,15.12,14.78,20.32,15.14,14.68,28.24,15.50,28.37,20.59,16.16,15.20,17.37,20.25,16.59,15.92,20.28,15.00,17.76,15.57,14.89,30.71,27.76,15.01,15.02,17.76
4,18.42,28.76,21.08,17.44,18.22,24.42,22.27,34.12,21.44,16.95,56.27,16.87,31.64,23.32,17.53,21.14,23.79,17.38,16.73,53.88,25.67,32.55,40.43,20.44,19.90,17.55,48.25,16.30,17.49,20.83,16.72,16.86,24.25,46.14,30.55,40.15,17.64,25.96,54.72,16.97,16.19,46.52,30.20,33.37,16.25,16.84,24.53,42.47,32.51,19.22,20.38,19.24,16.86,16.49,34.35,32.11,32.96,16.35,20.15,16.56,16.90,43.30,22.17,33.61,60.48,16.64,18.06,29.25,44.72,17.29,20.35,23.75,18.96,18.94,16.47,26.46,41.99,19.81,27.63,16.49,16.89,16.96,42.37,16.41,42.44,18.85,49.59,20.77,16.76,25.87,22.46,22.99,42.64,17.56,16.22,34.52,16.32,16.71,21.76,26.61,41.28,16.83,26.26,16.88
8,39.18,31.62,16.18,17.31,17.36,102.52,18.84,17.15,24.13,16.44,17.34,45.76,16.51,106.04,34.83,93.08,146.16,58.47,16.12,55.03,43.69,20.83,18.17,24.35,154.39,61.81,17.29,30.80,19.78,16.94,16.67,92.30,17.34,64.31,16.40,87.83,24.63,24.09,18.45,73.40,16.16,34.38,21.70,80.38,17.08,17.04,32.02,17.47,17.79,16.45,16.63,25.29,82.94,101.96,16.93,35.06,33.52,16.83,23.83,83.82,78.66,19.82,51.37,109.20,16.42,16.56,24.20,29.49,31.77,50.05,104.67,75.58,99.08,96.79,18.40,93.98,25.21,41.06,92.68,54.49,41.52,136.55,27.03,18.19,28.57,17.40,18.61,82.65,16.48,132.57,39.16,16.43,17.40,18.35,19.10,22.10,81.41,30.22,16.33,17.11,23.11,44.07,25.48,20.89
16,21.92,176.26,75.71,149.88,141.14,21.08,57.79,155.17,207.99,120.96,219.43,24.45,40.85,73.15,122.79,125.33,166.51,212.16,175.90,104.88,193.86,45.97,156.59,88.77,208.81,49.24,26.51,177.44,176.94,24.23,40.13,18.82,121.33,69.34,181.79,69.87,28.72,118.87,94.32,175.11,68.29,212.52,101.76,28.80,92.35,168.05,24.44,49.36,115.59,37.09,87.18,101.84,91.32,81.38,152.15,23.76,32.78,89.83,52.83,95.47,105.83,162.61,143.49,143.62,27.00,100.45,117.36,73.80,91.57,20.01,24.69,74.10,32.82,123.23,107.59,33.42,156.20,145.61,94.54,30.57,126.41,180.42,147.94,81.18,34.86,17.28,19.29,29.91,50.91,94.94,180.79,107.24,19.71,66.06,93.75,50.17,132.63,96.17,84.99,73.63,102.52,25.31,107.72,88.83
32,114.52,248.93,70.54,164.91,159.36,188.99,212.23,259.78,90.35,123.66,93.29,200.63,219.67,184.91,228.65,111.53,212.02,122.34,215.90,67.78,188.44,246.03,172.00,129.86,225.45,87.25,66.35,197.36,85.12,219.22,226.66,152.52,104.86,236.03,143.63,241.66,119.52,136.18,229.40,151.61,191.25,158.93,236.93,134.49,218.17,147.51,94.25,203.83,242.57,61.78,110.00,92.51,258.41,189.38,60.99,155.84,88.24,188.81,255.73,231.55,109.79,140.83,90.60,235.36,253.96,88.26,249.19,240.31,259.01,238.26,124.61,74.01,241.04,70.77,160.53,235.80,172.01,172.71,212.25,149.42,74.65,154.80,97.03,198.78,209.41,100.50,133.51,208.84,209.00,137.46,71.70,92.49,246.70,197.68,120.69,172.49,203.95,240.15,254.47,68.01,150.11,98.69,256.24,132.17
64,259.59,211.40,91.72,228.46,144.36,178.21,86.95,218.92,117.50,192.87,263.15,220.45,113.24,78.68,232.50,244.49,205.42,229.94,251.03,87.65,240.43,189.55,151.21,207.12,233.69,87.99,214.60,166.91,83.76,200.98,215.03,236.43,109.91,204.03,115.11,234.04,175.37,199.37,98.15,253.79,215.52,104.34,177.28,266.06,204.10,82.44,195.38,151.88,188.23,209.44,199.81,90.39,98.41,194.87,243.31,207.78,209.19,194.91,210.42,199.89,94.86,186.19,218.47,195.37,77.35,258.39,186.70,250.07,209.74,98.78,246.13,77.62,246.27,234.86,204.56,98.38,194.95,143.52,239.51,237.24,254.92,189.69,90.87,208.70,91.10,240.95,207.86,177.83,93.35,200.34,112.21,248.06,197.61,269.16,233.72,84.37,198.92,193.21,161.01,98.19,222.82,78.08,231.90,199.64
128,277.82,202.38,233.55,184.50,89.59,195.23,94.97,236.21,133.85,241.14,334.30,266.14,138.66,328.96,221.79,101.18,268.24,275.23,175.65,118.94,264.07,205.37,265.29,97.65,246.22,105.07,287.49,209.07,105.50,262.30,249.09,211.77,231.20,195.67,172.02,190.97,86.97,265.24,97.03,292.00,227.82,157.57,264.30,87.22,243.13,324.42,270.49,180.57,202.44,117.05,183.98,99.47,195.63,205.84,126.04,227.76,355.16,208.27,207.31,231.92,87.74,217.16,238.52,198.28,97.43,113.73,202.66,226.56,205.48,98.05,222.59,213.09,221.94,94.37,195.95,106.38,199.34,275.64,202.31,195.82,111.42,246.32,347.85,249.45,256.33,237.21,92.61,225.89,101.23,224.52,138.68,118.86,210.31,109.48,200.24,267.66,245.33,128.31,192.92,269.32,246.53,90.78,210.02,266.01
256,143.98,225.45,368.93,221.65,93.25,235.08,121.78,221.64,140.31,233.17,112.04,214.05,278.85,218.01,254.22,174.21,221.82,200.71,231.00,97.40,255.31,114.41,209.54,96.93,224.69,223.85,301.59,216.40,219.16,200.06,98.43,216.72,153.81,211.02,94.87,221.44,141.58,221.71,355.41,260.83,265.12,140.90,227.09,95.35,280.63,367.29,283.45,96.85,211.86,175.47,207.88,145.65,277.27,232.20,147.48,215.88,370.11,235.95,115.73,231.09,92.62,230.89,110.02,237.19,245.17,177.37,212.18,341.75,218.67,153.98,229.25,311.21,219.75,109.54,209.76,127.17,221.26,92.44,187.42,238.56,365.83,210.17,290.94,241.32,137.49,233.47,110.05,215.40,97.45,228.85,116.20,256.31,208.74,295.56,198.78,108.92,232.31,290.88,235.35,112.69,207.45,185.39,204.15,90.36
512,221.29,221.24,321.46,214.62,99.24,215.64,248.38,235.95,153.81,243.28,99.69,217.45,102.92,218.92,217.69,231.67,264.13,116.64,243.02,124.96,265.60,96.81,245.68,211.55,220.56,309.92,350.10,242.33,235.82,243.00,129.29,244.64,318.46,248.54,99.13,223.61,168.47,217.59,120.35,218.62,217.92,319.10,215.97,151.15,210.67,237.84,214.22,125.38,249.67,119.72,249.13,103.29,163.72,264.38,329.74,221.71,144.80,266.59,177.75,212.52,115.64,217.69,398.87,194.67,104.44,115.01,214.93,273.48,236.04,151.46,234.18,390.45,235.48,155.27,238.77,246.35,192.26,101.72,204.78,220.87,356.70,232.84,353.66,252.35,228.90,240.23,101.02,253.41,107.21,222.04,102.14,340.35,261.99,359.46,220.17,136.05,215.48,226.44,221.90,100.31,257.94,98.89,259.15,213.93
