size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
1,12.16,13.99,13.14,12.51,12.26,15.00,13.50,12.25,13.69,12.41,13.39,13.36,12.99,13.63,14.61,15.34,15.80,12.88,12.31,12.27,12.65,13.81,12.47,12.44,14.25,14.35,14.56,13.68,12.37,12.37,15.05,12.27,12.28,17.89,12.64,13.33,19.50,17.79,12.46,12.52,12.77,13.53,12.28,13.39,13.45,13.05,13.83,13.56,13.57,12.27,12.43,13.05,13.32,13.01,12.45,12.66,15.66,12.37,12.71,13.59,14.23,12.22,13.74,14.01,12.41,15.01,13.70,12.70,12.52,14.17,13.95,13.38,13.04,12.22,12.25,12.74,13.23,13.94,12.51,13.52,13.72,13.14,15.25,12.46,13.79,15.05,13.72,14.26,12.23,12.33,13.83,14.99,12.72,12.36,12.75,12.45,13.82,12.64,17.09,15.16,12.53,12.28,12.60,12.31,12.48,12.78,12.48,12.80,14.55,13.25,14.60,12.82
2,15.11,15.81,17.35,16.09,15.48,15.46,16.36,17.35,16.25,25.70,16.19,15.87,19.36,22.46,15.51,18.00,27.34,17.76,15.59,15.59,15.84,16.02,15.57,15.80,16.85,24.83,16.22,15.87,16.40,15.70,16.92,17.47,15.73,16.56,19.78,15.56,15.74,27.68,17.69,16.55,15.69,16.01,15.81,16.18,15.79,19.54,25.55,18.85,15.81,20.53,15.96,19.63,16.11,16.24,25.33,15.76,16.11,19.40,15.65,16.24,17.20,17.79,23.89,17.30,22.48,19.77,17.94,15.95,15.87,15.78,15.50,16.67,15.67,21.75,24.04,18.12,17.87,15.60,18.78,15.69,17.16,17.08,15.79,16.10,33.58,17.01,16.42,23.98,15.57,20.61,17.51,15.70,15.67,15.73,16.33,15.79,15.82,26.08,21.82,16.08,16.40,18.34,22.05,33.58,15.74,15.81,20.18,15.78,16.09,16.04,17.33,15.79
4,16.67,19.78,27.31,35.90,19.99,17.90,21.69,18.63,26.81,47.88,55.45,18.48,26.49,18.81,22.67,21.78,20.45,22.58,17.63,52.52,18.37,21.14,18.46,20.43,39.34,19.67,18.74,19.64,18.75,20.40,19.48,22.35,20.25,19.72,22.26,19.52,18.94,20.02,18.57,19.29,21.82,54.71,22.07,19.09,42.69,21.32,20.99,20.00,23.42,21.75,22.10,19.39,21.41,31.29,19.96,40.99,23.86,19.09,23.63,19.26,26.36,57.05,26.86,49.47,20.60,19.12,23.59,19.40,24.15,22.28,19.37,18.70,19.04,19.61,34.65,42.14,19.36,55.78,18.89,17.98,45.68,19.91,20.73,18.75,50.11,20.56,49.76,20.93,18.18,26.41,34.56,21.31,17.48,19.63,18.16,19.88,18.68,49.41,28.19,17.55,23.79,18.42,22.48,26.86,19.98,21.21,24.59,17.50,22.69,57.08,23.03,36.48
8,42.63,40.14,41.05,81.96,31.04,45.01,75.58,22.94,38.85,37.31,23.35,112.71,113.08,40.46,157.10,18.05,22.88,115.75,20.13,55.53,101.37,64.76,16.49,28.91,18.03,56.76,25.38,23.23,64.27,74.97,60.98,60.86,89.55,76.98,67.18,75.72,79.25,58.26,56.42,46.38,73.71,65.38,16.28,18.69,72.41,25.44,17.03,18.76,24.14,67.23,110.76,18.95,105.60,40.22,17.22,41.43,101.89,69.77,33.04,39.85,23.13,19.96,21.38,99.44,43.22,25.57,52.54,64.17,64.16,21.95,69.66,52.04,21.15,96.80,40.29,35.45,24.30,136.19,35.21,16.36,18.25,18.11,56.63,130.01,105.45,105.58,22.61,35.07,85.32,17.37,17.17,17.58,108.53,17.19,16.87,30.93,16.68,103.19,113.65,139.69,36.73,67.43,29.86,24.05,21.74,40.02,35.59,150.42,80.19,158.82,32.49,27.90
16,87.03,268.98,62.64,141.82,209.30,58.15,192.18,265.57,226.38,87.30,218.21,228.94,41.37,40.66,179.96,150.51,61.51,24.10,186.46,89.94,103.85,102.76,99.32,73.54,59.91,52.38,68.43,73.83,83.83,176.49,149.47,127.56,85.63,94.03,123.86,65.79,96.78,62.83,127.78,141.92,88.84,131.66,91.87,263.02,97.38,241.50,27.46,80.80,136.37,95.36,114.35,51.72,104.70,228.19,97.75,223.52,246.72,98.10,249.64,91.63,270.49,145.11,283.95,148.10,66.09,67.58,104.49,66.31,75.30,101.02,178.37,43.62,208.25,124.77,196.32,207.01,57.68,125.69,133.12,41.74,80.76,113.51,34.94,144.54,112.32,60.87,17.83,251.36,120.40,263.74,102.78,238.46,110.13,111.35,91.53,35.20,98.48,274.94,131.32,68.48,84.81,109.48,63.83,144.25,154.66,73.94,130.39,95.63,100.42,129.88,96.34,167.84
32,109.96,88.86,252.13,112.63,125.99,201.07,247.48,214.84,198.99,199.05,63.43,186.86,216.60,65.80,249.60,156.50,227.71,59.16,93.53,215.07,216.41,156.56,66.49,144.97,216.71,180.62,172.05,118.66,247.69,94.65,197.67,179.49,182.75,123.68,264.73,150.99,120.89,128.55,125.30,73.44,85.73,179.50,207.22,222.44,209.39,188.14,202.41,69.90,88.66,179.00,135.16,223.21,153.71,171.02,76.45,90.77,239.23,254.80,197.59,141.27,234.77,112.77,76.04,232.76,80.43,80.83,102.39,158.82,113.91,241.72,253.82,89.98,244.15,255.17,170.98,255.63,265.10,90.77,247.16,74.78,85.79,108.39,99.26,252.95,207.81,101.01,190.02,100.23,253.41,110.82,259.60,153.90,165.87,121.59,57.51,86.75,171.85,112.92,137.93,130.69,135.21,78.53,138.04,187.08,176.33,215.36,134.21,81.78,170.50,215.56,63.85,216.88
64,217.52,266.06,267.39,205.60,87.60,227.34,244.32,272.61,245.64,123.36,89.26,118.45,101.00,129.67,212.46,233.81,221.55,177.57,79.98,240.65,225.17,240.40,208.34,100.35,147.56,96.05,103.83,140.45,83.37,287.67,214.08,234.01,113.65,81.23,202.08,291.39,115.82,109.33,179.74,115.40,167.12,291.72,266.60,207.40,252.15,97.93,276.01,87.44,207.95,256.45,84.14,129.65,95.36,257.25,223.70,120.41,110.32,248.54,162.28,92.71,284.14,168.71,285.45,83.47,284.08,201.43,105.21,256.73,278.67,166.80,215.15,243.90,217.89,92.75,198.79,102.98,235.89,235.13,222.51,111.50,135.34,97.91,247.80,134.85,101.36,213.95,90.83,118.73,117.05,198.09,217.55,251.01,256.34,253.66,256.15,126.14,92.18,162.77,105.92,216.29,222.04,117.67,79.95,224.33,271.83,252.75,265.40,113.46,236.24,79.85,123.82,201.76
128,224.41,210.64,247.99,102.90,208.78,245.94,237.71,107.74,130.40,240.27,112.54,201.66,143.01,91.26,204.22,164.14,271.72,99.97,263.23,214.86,230.62,231.87,236.59,102.73,240.50,132.58,189.51,92.79,110.86,245.87,232.71,123.33,155.40,111.26,159.28,151.86,243.39,247.50,242.03,98.25,243.28,103.35,216.11,217.92,161.45,103.23,202.48,97.71,209.18,137.22,174.91,114.20,137.49,198.43,165.37,120.32,216.88,249.68,212.78,246.56,165.62,99.46,130.99,124.70,243.23,139.81,231.53,112.96,132.24,111.05,218.79,209.18,182.00,222.46,211.44,217.19,201.46,123.63,229.32,136.16,230.70,95.08,170.34,102.61,211.46,219.67,180.34,234.58,157.16,107.46,200.99,223.36,196.92,107.58,115.65,90.01,224.00,234.18,221.80,221.88,136.38,217.90,219.37,110.69,228.84,203.41,141.88,246.27,97.32,91.70,110.63,133.11
256,214.70,271.50,116.36,216.31,209.88,243.55,221.92,270.49,156.69,187.65,96.11,249.11,103.71,130.33,248.02,144.39,239.69,248.06,250.82,124.58,232.65,252.93,248.61,105.69,234.63,98.15,205.78,131.60,266.76,218.99,219.92,215.60,112.18,113.54,167.45,128.70,133.79,169.94,270.84,182.79,98.27,161.78,204.17,208.06,216.25,123.70,224.26,250.90,219.16,242.96,163.94,123.08,172.09,94.65,160.61,109.45,145.66,220.95,143.29,138.14,239.06,128.92,235.41,212.30,203.31,101.04,226.34,109.14,103.91,213.46,141.74,217.21,189.92,137.66,220.72,190.21,223.73,223.01,133.23,125.60,232.47,119.13,149.83,97.04,217.51,114.40,219.32,156.26,201.80,223.69,218.07,124.31,192.61,110.65,183.23,215.32,137.37,102.22,220.10,256.38,221.58,254.29,154.95,215.00,216.22,137.26,122.12,135.13,114.44,95.74,158.83,136.11
512,219.93,212.89,221.29,219.55,263.83,222.27,226.80,173.12,269.89,151.76,231.42,124.28,174.47,97.54,218.15,219.53,221.19,143.43,215.83,178.13,215.42,264.25,234.14,116.65,230.70,141.52,236.35,105.73,261.35,208.43,219.20,219.88,222.35,219.87,288.49,198.94,290.27,109.20,274.00,103.08,124.56,103.18,291.09,220.55,219.62,221.19,295.85,220.56,286.37,100.72,232.63,107.80,234.16,188.09,214.63,102.33,268.12,221.45,267.38,236.98,212.59,174.03,218.62,237.46,163.22,125.68,189.02,214.15,141.86,98.14,220.45,280.81,218.15,290.01,242.14,124.11,221.76,271.66,229.71,105.20,258.95,115.00,232.99,115.43,220.70,253.54,222.13,252.67,268.75,201.91,281.44,214.52,242.56,135.70,283.95,135.43,94.70,122.64,222.03,271.64,222.31,270.13,217.04,217.48,223.32,172.71,182.86,106.98,168.36,119.03,128.16,109.39
