size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1,12.06,11.89,13.09,11.91,12.06,11.71,13.14,16.95,12.41,11.94,13.23,12.14,12.29,11.98,12.25,11.97,12.29,12.57,12.56,12.22,14.60,12.05,11.84,12.13,12.03,13.03,12.17,12.09,12.18,12.58,14.37,14.53,13.48,14.58,15.22,14.61,13.41,11.77,12.57,12.57,12.66,11.91,12.00,11.99,11.95,12.70,14.13,12.37,12.97,14.40,12.53,11.85,11.71,12.36,13.78,11.96,12.51,14.99,12.01,13.31,12.17,16.52,13.24,11.98,16.40,11.69,11.72,12.00,11.83,12.39,12.41,16.65,16.03,16.44,14.77,11.92,11.71,14.44,11.92,12.32,13.83,11.74,15.39,15.28,14.39,14.99,12.03,12.28,12.42,11.97,11.95,14.54,13.53,15.20,13.21,12.35,12.03,11.94,12.27,14.99,12.14,11.96,15.10,13.14,17.10,11.97,11.73,14.15,14.48,12.64,13.18,13.75,13.45,12.04,12.02,13.56,12.41,13.99,12.23,12.67
2,18.07,19.11,16.25,20.81,16.77,18.07,16.68,17.61,16.62,21.71,20.95,17.75,21.26,17.50,16.36,16.62,17.21,19.82,18.59,18.85,30.72,17.08,14.87,16.31,15.46,18.83,15.36,16.36,18.71,16.68,16.20,15.52,16.12,18.32,18.91,21.62,18.80,15.25,16.28,14.84,16.87,15.73,17.04,19.24,18.72,17.06,15.20,18.56,21.71,18.56,14.91,16.29,14.89,16.89,20.36,16.60,17.87,16.40,15.93,16.71,16.60,14.98,16.49,21.57,16.02,17.49,16.30,15.51,28.56,15.72,16.48,15.38,18.05,15.29,16.17,16.25,15.55,17.47,17.66,16.54,31.22,16.74,15.36,18.88,15.83,16.47,15.21,18.49,15.14,17.53,16.02,15.50,20.07,15.67,16.14,17.78,16.65,14.82,16.33,18.14,20.68,17.65,16.91,15.24,19.21,20.56,16.55,17.96,16.41,17.16,17.14,16.78,14.97,16.43,14.84,16.52,15.08,17.95,15.95,16.30
4,19.78,32.95,19.97,17.89,26.73,17.47,35.49,17.97,23.69,18.39,19.08,49.73,48.79,22.41,19.60,23.06,37.49,25.61,25.55,23.07,36.01,54.56,22.71,34.64,17.24,23.82,17.91,21.06,36.88,22.55,23.07,21.59,30.12,24.82,23.16,26.67,21.75,20.33,21.63,20.23,21.04,22.22,22.70,58.32,58.48,23.23,21.27,22.86,56.54,42.29,20.35,20.38,20.80,20.92,22.13,19.68,23.11,52.47,23.80,23.56,20.14,22.71,27.81,27.40,25.09,21.11,20.63,18.14,38.07,26.62,51.59,50.69,20.84,20.46,21.34,36.84,26.23,26.46,27.93,28.36,31.65,24.64,27.21,26.47,22.47,23.12,25.02,23.79,24.53,25.08,22.49,18.42,29.23,21.61,28.62,35.58,32.28,20.41,23.06,57.49,23.57,19.52,23.64,19.47,34.69,25.05,18.69,22.67,37.71,37.63,19.62,21.01,21.78,22.54,21.17,21.68,42.19,21.64,22.61,58.59
8,34.42,127.93,31.09,81.64,38.37,53.12,155.12,25.41,38.37,70.33,16.55,27.12,38.96,21.16,20.88,21.42,116.70,42.89,23.05,30.08,64.79,46.26,117.20,74.99,17.10,29.24,16.59,29.11,16.85,23.80,16.73,91.04,131.62,115.09,23.82,18.37,119.31,33.50,18.05,29.82,23.83,43.70,17.55,49.48,67.38,57.55,22.07,42.01,40.36,21.87,21.56,37.34,16.40,58.54,21.73,30.19,25.45,21.66,73.92,80.09,35.31,79.34,35.77,41.16,60.26,28.84,36.57,18.02,27.48,26.08,36.37,43.39,35.16,32.59,31.70,41.50,21.99,76.54,85.49,36.99,17.04,25.30,45.11,40.85,16.43,40.21,25.40,20.88,17.03,20.79,40.13,33.45,23.42,77.34,128.00,112.55,74.81,92.03,55.91,22.41,47.51,16.90,62.26,20.45,34.19,51.83,16.25,62.73,16.67,68.60,66.78,19.35,22.61,53.95,53.38,45.30,25.31,45.05,37.92,95.17
16,118.65,145.26,168.89,168.65,38.10,124.61,148.70,186.46,103.94,142.69,90.05,143.05,145.04,203.05,88.03,73.87,260.59,71.89,120.16,186.31,121.63,175.78,128.51,69.75,257.91,82.99,265.78,184.61,261.43,155.99,25.73,117.65,120.15,93.99,155.14,56.88,84.17,136.36,86.11,157.80,138.72,135.37,93.48,77.28,118.78,44.62,176.17,194.17,99.58,210.57,248.26,198.51,259.51,84.20,261.26,88.95,56.16,248.47,228.97,70.60,134.42,36.84,131.73,187.69,119.23,195.62,54.88,167.77,100.30,141.43,144.14,165.59,43.64,143.19,133.17,75.58,213.42,66.37,228.45,115.59,138.47,80.81,213.22,155.53,47.09,72.80,227.69,63.88,205.22,102.90,49.24,219.71,188.42,122.43,223.31,237.54,187.91,42.37,102.76,243.37,91.85,190.40,198.86,185.23,51.67,86.31,182.74,71.08,113.54,32.41,194.11,204.59,254.00,96.26,28.20,99.41,158.75,30.21,229.79,124.11
32,90.33,220.32,142.16,239.20,115.74,212.64,72.20,250.28,105.08,222.18,178.14,249.09,224.26,190.42,232.92,284.21,241.44,170.82,259.32,94.27,207.42,73.62,229.51,95.86,234.87,100.02,235.32,316.09,164.50,142.01,183.90,216.96,286.29,174.33,129.81,212.04,70.44,214.82,113.47,225.84,93.50,226.53,111.19,166.36,222.60,82.07,256.61,252.73,258.40,85.94,217.65,214.70,259.06,202.37,248.73,82.20,256.79,138.87,116.61,124.08,98.32,263.58,113.71,150.37,286.79,253.91,105.32,188.02,142.92,235.31,82.62,261.30,81.59,266.57,292.02,201.42,239.13,223.53,223.50,230.75,259.05,195.94,261.81,105.17,126.12,68.77,225.49,107.87,262.73,95.04,160.79,226.94,311.10,203.43,149.47,246.17,76.21,243.97,108.36,236.89,98.07,191.50,88.67,232.24,264.97,169.84,230.52,79.39,211.40,174.69,219.82,119.86,212.58,147.68,214.95,143.97,150.61,120.49,199.62,88.00
64,222.41,246.50,90.28,255.93,288.49,268.78,94.48,229.98,104.29,184.30,291.37,199.36,150.69,242.99,109.30,98.41,271.39,328.42,275.10,84.42,276.87,349.79,168.65,113.21,263.81,174.90,258.24,122.78,238.51,196.31,244.29,225.76,119.91,192.27,230.74,219.27,304.98,209.02,95.37,239.65,198.76,232.48,124.92,206.36,84.86,275.80,289.90,262.91,243.75,95.56,289.12,148.58,226.53,262.54,203.19,171.36,150.53,86.24,290.03,98.59,120.02,206.38,225.09,217.31,95.67,247.63,131.99,193.08,129.00,246.57,182.95,265.35,321.97,273.35,88.57,111.48,266.21,235.57,248.92,242.64,268.88,160.04,236.00,234.34,183.61,82.42,273.61,88.66,261.25,216.07,86.95,205.66,119.44,221.12,210.61,221.22,121.63,200.34,174.84,239.01,221.25,228.11,207.26,212.64,97.74,216.04,217.58,207.92,187.98,102.30,229.82,218.11,201.88,118.90,202.44,108.23,228.26,127.80,207.20,88.64
128,226.27,240.01,148.00,233.91,107.40,224.80,97.76,211.92,193.67,225.62,105.37,209.21,189.41,212.68,120.81,346.77,245.79,106.30,208.41,223.43,251.40,117.88,209.98,128.85,219.39,103.26,201.60,98.40,222.66,162.49,239.84,225.75,267.33,244.54,222.72,235.96,218.35,238.65,152.98,246.10,91.25,202.90,107.87,223.75,101.74,365.58,219.51,126.54,230.78,331.74,258.11,190.81,202.24,163.90,250.24,92.80,231.89,135.44,223.16,100.14,228.16,288.87,234.50,282.27,118.67,258.99,320.39,203.41,111.43,290.41,178.21,186.90,122.15,213.45,90.75,241.25,240.15,109.45,283.32,105.15,217.03,134.68,203.83,225.63,285.45,156.46,287.23,156.16,227.38,98.53,388.25,210.48,173.30,227.58,105.52,234.82,219.01,201.64,126.28,212.28,278.26,236.11,87.91,245.25,162.54,126.29,232.42,166.25,257.78,285.04,236.53,184.34,221.02,89.66,238.54,170.29,222.36,220.82,264.11,103.75
256,205.80,271.52,223.66,258.00,285.44,287.15,125.07,244.14,93.08,211.96,301.64,244.63,105.98,214.31,141.98,159.92,230.41,222.84,249.50,211.72,225.73,133.32,254.31,103.14,232.05,116.20,229.36,98.91,224.72,148.63,309.25,221.26,242.28,221.11,221.81,233.63,125.42,221.00,180.11,247.91,229.26,245.84,109.18,236.19,91.03,259.53,213.66,305.38,222.31,210.90,221.44,148.33,250.83,188.18,241.98,116.64,246.05,102.87,217.62,99.37,150.49,280.55,219.36,290.80,197.90,252.58,213.12,267.61,105.60,257.49,356.99,233.43,111.00,230.21,99.23,145.90,210.95,222.20,222.78,254.37,246.45,218.31,241.97,123.16,219.52,98.76,241.69,136.14,230.39,100.97,106.61,229.90,111.37,221.47,218.77,244.87,139.39,236.16,147.77,237.50,225.55,242.52,168.80,249.83,100.39,353.10,221.12,128.15,222.29,164.57,217.85,380.82,247.69,226.97,253.00,104.32,247.62,191.75,231.63,94.37
512,279.14,277.90,364.41,263.17,217.89,239.79,218.38,225.54,133.15,214.43,246.58,213.57,101.72,219.56,102.28,177.98,281.39,245.04,282.75,358.09,219.00,221.31,215.21,116.15,244.94,235.56,243.97,139.89,226.27,104.02,221.37,273.00,398.13,273.13,298.93,217.24,162.01,248.89,106.05,245.95,171.24,261.42,142.31,230.44,106.15,220.12,292.75,262.47,287.69,396.84,295.29,302.77,223.56,124.78,234.96,159.21,260.47,102.33,265.45,116.65,221.30,223.55,364.08,223.99,217.06,218.32,177.87,220.88,131.60,228.06,121.08,235.75,339.52,221.97,103.98,293.32,224.21,270.43,234.22,296.36,248.04,213.03,224.74,140.66,247.16,125.82,252.45,164.54,226.70,100.37,179.61,223.76,379.70,218.23,218.82,224.16,248.87,255.68,177.69,263.06,245.05,221.39,100.40,249.87,101.86,252.69,222.75,253.28,222.87,217.84,217.19,180.50,236.55,126.77,234.15,147.70,254.27,268.45,239.56,99.93
