size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,14.07,12.12,13.94,13.10,12.39,13.86,12.55,13.12,13.96,12.07,14.63,12.13,12.23,11.91,12.40,12.00,12.65,12.06,12.02,11.87,13.17,12.11,11.85,12.01,18.34,14.85,12.07,13.06,12.31,12.12,17.90,11.94,19.39,11.96,12.85,12.44,14.02,11.93,11.91,11.75,12.09,18.88,11.95,11.94,12.33,12.70,11.93,13.17,13.63,11.98,11.76,12.19,12.52,11.82,11.77,12.22,12.22,12.13,12.00,11.95,14.55,14.14,11.98,12.65,14.05,11.92,12.04,13.37,13.82,12.08,12.67,12.02,11.84,12.92,12.03,14.34,11.92,11.92,12.47,12.15,12.07,12.34,11.78,14.11,11.83,11.99,12.12,12.15,12.03,12.27,11.93,11.99,12.23,11.92,12.02,11.98,11.77,11.96,12.04,11.84,11.75,11.84,12.44,14.32,13.25,11.95,14.18,11.93,11.93,11.93,12.17,14.63,13.26,13.55,18.46,11.79,14.08,13.08,12.63,14.85,12.76,11.90,11.92,12.49,12.90,11.93,14.56,12.05
2,19.13,21.58,23.11,24.01,22.00,18.68,21.91,16.37,23.11,16.42,22.18,16.85,25.97,16.41,22.39,16.20,15.57,17.76,16.49,16.45,34.55,16.58,21.32,16.07,15.81,21.33,16.25,16.65,17.16,16.29,15.98,18.16,16.57,19.56,17.28,17.01,15.41,16.16,15.72,17.28,15.49,18.12,34.37,18.62,20.80,16.40,16.99,18.22,16.18,16.17,19.81,16.72,17.99,21.84,16.07,16.08,18.17,18.22,17.71,16.36,16.85,21.54,18.60,19.26,18.46,16.71,18.02,17.92,17.18,16.44,25.24,17.29,16.11,16.64,16.24,21.96,16.15,16.50,26.57,16.43,16.49,22.30,18.01,16.26,16.60,16.06,23.17,16.47,16.18,18.70,18.39,16.56,21.88,16.76,16.44,19.85,16.68,21.35,20.54,17.46,16.30,16.45,16.55,16.01,16.26,16.51,24.37,17.56,16.26,16.57,16.42,20.92,17.79,23.76,19.51,16.83,16.97,16.50,18.06,21.08,16.89,16.28,16.19,17.02,28.18,17.17,21.39,16.21
4,15.95,27.38,16.63,21.90,16.59,25.30,58.26,21.23,16.88,55.22,31.16,24.25,38.40,27.00,37.39,21.25,18.00,23.57,18.38,22.18,55.77,26.66,22.10,23.86,18.85,21.68,34.12,23.05,42.01,29.26,30.96,42.07,50.16,34.14,34.99,22.61,21.26,24.34,19.90,18.83,19.02,41.23,56.90,35.52,19.50,19.60,20.00,20.79,17.60,42.70,20.85,19.28,28.30,18.54,28.46,51.63,27.32,39.20,20.68,18.27,21.96,21.08,23.57,19.38,21.29,23.10,22.02,21.21,23.88,22.08,52.66,25.16,19.69,21.88,21.76,28.88,49.55,24.00,23.23,24.15,58.28,22.03,27.18,30.70,25.70,26.12,21.03,22.26,23.73,23.35,31.95,26.46,24.14,27.27,25.65,41.08,30.72,24.53,23.14,20.15,23.94,57.76,21.23,35.27,20.93,26.19,35.55,22.99,26.18,21.72,22.20,21.38,55.77,26.15,22.30,22.42,25.25,19.90,21.70,23.84,28.61,22.09,17.11,22.54,59.77,20.02,22.69,24.89
8,16.11,64.13,16.33,85.35,16.15,38.53,41.91,77.74,17.48,87.53,27.20,100.11,180.12,27.80,143.56,77.26,176.34,77.00,72.69,50.91,144.33,56.62,17.16,55.72,81.05,68.82,17.88,68.20,40.22,79.20,29.23,76.65,172.46,63.09,17.30,83.61,24.22,39.08,35.90,85.90,35.31,62.59,131.47,63.99,90.41,76.71,32.21,58.26,70.77,212.58,90.88,43.75,70.96,193.47,84.70,112.34,66.24,109.81,37.96,121.64,68.67,26.35,68.20,85.46,95.52,36.39,40.96,120.33,152.53,40.28,106.09,61.98,106.45,33.21,23.92,97.01,123.53,113.65,23.64,57.63,205.01,173.00,124.93,55.14,53.11,172.26,189.67,44.82,24.10,48.44,156.64,48.28,125.79,50.58,16.58,87.67,78.70,170.58,59.23,75.44,76.58,35.29,59.05,119.65,84.00,181.13,74.43,55.10,46.24,48.06,37.55,52.89,185.19,57.38,81.15,51.07,71.07,170.87,65.06,92.53,114.94,46.56,16.48,42.49,205.45,173.63,68.27,59.34
16,84.77,169.20,173.44,232.07,90.69,267.92,82.79,274.79,117.81,113.54,98.07,82.06,79.84,269.51,92.26,120.27,193.24,83.67,208.37,264.42,148.15,147.06,32.60,49.16,138.23,91.38,119.22,256.24,80.42,88.39,171.66,178.80,265.28,127.87,84.57,75.82,252.98,129.39,167.14,189.26,126.42,38.05,62.01,115.17,93.74,127.42,254.40,114.19,232.27,108.76,239.84,130.32,67.39,110.91,178.01,80.30,115.03,114.09,241.74,45.64,116.96,101.13,161.67,156.73,115.16,180.84,153.43,72.68,260.51,108.94,62.91,176.94,258.77,119.35,118.64,98.87,262.94,112.35,113.63,42.55,237.86,71.90,121.32,103.42,156.74,107.65,35.39,111.01,182.17,132.80,177.05,79.31,164.63,80.35,162.68,109.09,202.60,174.21,196.24,173.25,134.91,235.96,100.84,177.53,102.79,46.55,97.43,104.79,50.25,100.71,193.80,78.53,194.73,143.78,108.54,208.13,40.13,82.78,182.34,166.77,122.52,90.08,84.57,58.00,111.96,147.01,158.90,194.79
32,207.03,116.44,257.46,112.38,101.91,158.76,185.43,105.28,183.47,160.68,222.06,135.01,131.17,149.94,139.41,91.19,150.21,103.20,167.34,142.89,249.30,108.38,194.53,107.89,111.54,116.49,126.71,118.07,144.86,143.77,142.70,102.21,181.93,196.44,266.30,132.30,268.07,128.35,247.65,150.37,115.57,110.81,121.28,87.12,115.59,108.83,99.69,104.19,116.42,220.23,115.72,234.21,174.61,230.09,170.14,216.71,116.23,220.88,124.70,107.67,130.91,269.03,74.20,77.51,252.18,150.10,148.09,123.22,151.27,146.68,174.24,113.99,185.80,111.31,102.47,116.76,98.32,82.46,191.79,114.76,235.02,122.22,215.45,134.03,273.03,115.70,82.24,111.44,117.64,138.47,226.82,81.94,221.54,127.70,214.45,133.32,243.49,236.49,132.73,110.53,256.71,109.18,230.68,100.47,128.11,244.30,220.54,169.40,120.40,238.57,229.52,65.29,262.60,210.04,89.47,172.56,271.52,148.28,224.30,113.70,243.00,74.03,104.67,112.39,236.61,158.11,158.41,106.29
64,247.33,230.11,226.50,236.18,161.40,105.26,104.02,133.49,107.67,106.53,153.13,248.10,97.73,207.33,227.33,162.80,214.60,220.31,240.97,206.10,228.29,104.56,109.36,98.56,187.14,204.00,198.77,109.90,129.43,117.26,97.46,103.76,129.32,281.81,209.54,282.32,239.05,163.57,180.34,168.19,265.50,81.83,228.04,143.86,104.90,123.61,109.04,254.84,253.87,234.79,242.67,93.37,216.90,268.40,201.27,226.99,251.33,98.55,173.94,165.25,221.82,107.09,248.84,96.08,252.16,232.60,253.08,293.49,171.92,91.00,208.47,271.36,197.59,298.71,90.82,295.06,96.84,108.34,104.41,160.50,263.16,256.72,271.81,130.39,244.28,196.99,195.44,186.48,79.31,250.60,208.75,203.56,229.12,117.75,116.74,79.78,250.58,105.84,252.53,238.54,268.06,91.90,228.22,174.00,154.66,147.27,165.71,150.05,200.17,118.13,89.11,264.02,274.89,187.39,219.10,242.44,248.93,163.02,268.45,263.99,173.28,92.59,208.02,118.40,274.15,134.09,255.77,89.21
128,262.88,214.91,250.88,290.38,241.57,293.26,111.95,101.18,165.59,105.04,263.85,198.15,93.48,243.87,266.18,101.15,184.31,171.86,267.20,238.51,156.91,217.63,144.48,102.24,235.08,106.66,129.92,207.02,213.03,137.42,265.41,107.20,220.98,238.21,215.57,247.00,258.11,208.72,258.58,217.74,96.60,168.88,187.05,139.41,90.62,154.98,242.08,102.82,212.96,212.17,242.99,221.42,270.87,175.13,262.03,218.51,260.09,203.57,96.93,191.84,102.20,126.23,126.39,101.71,137.94,100.20,214.06,236.03,215.56,157.04,212.02,218.72,205.54,102.88,147.68,133.79,109.13,123.26,143.73,203.48,268.15,214.51,265.91,101.87,221.51,205.46,232.77,121.15,195.52,103.68,138.72,209.32,148.44,117.17,235.14,196.45,209.10,252.61,212.80,104.62,150.13,121.98,156.65,230.88,184.79,153.49,104.35,187.46,117.59,208.50,112.30,113.04,211.49,243.15,231.63,213.48,150.12,155.66,212.40,262.11,156.76,241.62,94.24,149.56,223.71,271.34,103.66,97.81
256,254.52,257.59,226.81,221.97,251.46,230.60,136.81,210.03,149.48,261.16,119.09,110.74,118.98,174.97,183.68,98.02,225.53,222.13,220.06,221.29,253.25,170.75,267.61,221.38,196.22,100.75,235.06,105.23,182.03,122.58,266.86,114.60,252.72,220.11,248.58,293.46,256.16,104.95,221.22,297.81,178.50,299.62,253.78,109.07,195.30,134.22,137.76,98.34,225.41,138.82,247.90,266.51,249.86,267.51,197.89,171.61,135.77,214.02,140.12,215.94,116.95,105.48,120.29,100.97,225.67,219.10,217.49,224.33,224.42,105.09,226.79,220.65,142.64,170.94,202.57,213.88,141.58,101.08,107.95,108.23,268.94,225.71,224.67,218.96,274.56,135.47,250.87,135.79,233.59,129.80,223.15,209.66,179.01,105.87,192.77,99.02,226.82,222.56,251.47,219.07,224.63,219.14,254.77,203.52,201.67,136.85,173.58,106.71,184.59,105.78,106.16,115.69,226.48,222.36,211.28,144.08,224.25,221.97,205.34,127.03,167.85,123.04,93.31,129.47,220.48,135.47,138.43,126.28
512,248.21,244.63,229.15,223.55,222.24,220.03,264.64,160.24,254.62,184.62,265.03,244.25,199.32,115.29,232.75,101.56,227.30,223.56,218.72,215.45,220.42,227.56,268.20,220.65,268.03,112.47,239.65,161.51,217.71,105.78,285.45,107.59,227.02,223.95,220.71,259.44,233.93,243.30,236.56,261.37,163.65,249.01,220.19,221.42,116.79,133.89,104.03,104.27,272.61,216.41,272.67,216.77,284.35,214.15,261.87,224.22,167.96,128.38,140.79,222.66,268.34,123.69,208.54,102.30,224.36,220.82,226.78,227.57,257.84,262.56,216.29,254.34,258.43,225.60,128.22,247.83,108.56,173.16,99.78,248.56,268.39,218.28,255.76,230.69,268.16,221.66,254.65,241.62,217.30,122.58,219.97,245.32,201.04,135.61,223.59,98.06,217.75,264.64,228.46,247.21,220.28,267.64,255.67,259.25,256.06,263.12,218.16,186.98,128.58,106.79,117.83,111.47,240.23,246.20,228.06,224.33,242.77,166.40,240.09,220.87,246.31,139.20,89.18,140.70,224.18,156.24,256.83,250.92
