size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,10.41,10.66,10.65,10.55,10.40,10.64,10.65,10.40,10.54,10.57,10.45,10.39,10.65,10.35,10.57,10.37
2,12.95,12.97,12.96,12.97,12.95,12.98,12.97,12.99,12.95,12.95,12.97,12.98,12.97,12.98,12.97,12.97
4,14.29,14.29,14.27,14.27,14.29,14.26,14.26,14.30,14.27,14.26,14.27,14.26,14.27,14.29,14.27,14.27
8,14.60,14.49,14.46,14.39,14.37,14.38,14.39,14.37,14.38,14.38,14.49,14.43,14.54,14.39,14.39,14.41
16,15.08,15.16,15.13,15.07,15.05,15.07,15.08,15.20,15.20,15.18,15.12,15.18,15.18,15.18,15.14,15.17
32,27.33,27.62,27.90,27.77,27.39,28.08,29.17,27.38,27.61,27.51,27.42,27.57,27.59,27.47,27.95,27.93
64,60.58,60.14,61.71,59.64,58.49,66.97,72.81,59.22,61.96,59.41,61.58,58.93,59.49,64.27,66.51,59.27
128,84.15,74.37,98.31,73.92,90.25,74.16,99.14,74.01,82.14,74.53,86.39,74.03,78.52,74.13,74.87,79.73
256,94.25,82.90,109.69,81.92,81.95,110.90,111.31,81.74,82.87,91.94,93.14,82.77,81.83,111.56,107.64,82.52
512,85.05,119.05,118.87,84.74,84.95,118.95,119.31,85.58,119.07,85.60,85.64,118.89,85.54,119.37,85.54,119.69
