size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,12.18,11.62,11.64,11.61,11.61,12.34,11.62,11.66,11.72,11.65,11.62,11.93,11.61,11.63,11.86,12.31,11.63,11.66,12.26,11.58,11.64,11.64,11.61,11.87
2,16.44,14.64,14.74,14.61,14.64,16.45,14.62,14.58,15.43,14.64,14.62,16.31,15.59,14.63,14.72,15.05,14.65,14.69,15.39,14.73,14.70,14.76,14.64,16.40
4,16.04,15.97,16.31,16.38,16.00,16.02,16.01,15.98,16.27,16.26,16.07,16.07,16.03,15.99,16.92,16.13,15.97,16.04,15.99,15.97,16.32,16.02,15.95,16.21
8,17.11,16.09,16.48,16.29,16.12,17.58,20.48,16.11,16.30,16.33,16.09,17.97,16.31,16.08,17.87,21.29,16.09,16.33,16.48,16.07,16.68,16.69,16.09,17.47
16,19.34,17.11,41.36,18.65,17.40,39.39,20.28,16.91,37.73,19.16,17.15,38.74,21.31,17.12,36.14,39.35,16.93,18.67,20.50,17.04,37.27,24.79,16.94,35.16
32,39.76,29.58,91.26,29.62,29.32,96.68,82.20,29.38,42.45,36.19,29.62,90.48,61.80,29.70,60.16,74.04,29.46,28.81,34.18,29.39,99.92,103.11,29.55,29.98
64,67.10,61.39,99.80,69.53,61.51,95.42,105.04,61.35,62.22,66.84,61.72,92.69,64.97,61.33,98.01,64.35,61.91,102.01,78.32,61.90,83.22,66.45,61.40,86.15
128,77.86,77.02,110.57,83.06,75.12,97.98,123.57,76.18,75.63,107.86,76.54,78.19,103.73,76.74,77.89,111.79,76.53,76.38,102.21,75.99,76.77,103.84,75.32,76.75
256,85.21,145.78,110.22,82.03,144.90,128.13,128.76,145.25,82.48,83.02,105.68,127.36,95.34,95.21,87.75,120.74,145.05,82.67,83.26,131.43,127.26,83.52,144.83,125.60
512,117.70,158.13,89.80,86.11,158.06,130.72,108.93,159.98,89.83,90.86,159.40,112.80,91.74,158.66,89.60,130.54,159.48,85.26,90.85,159.91,117.45,86.68,159.50,130.76
