size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,12.11,11.62,11.65,12.39,12.23,11.64,11.64,12.34,11.70,11.64,11.77,12.33,12.31,11.93,11.67,11.62,11.64,12.30,12.00,11.65,12.25,11.76,11.61,11.71,12.46,11.64,11.63,12.20,11.62,11.64,12.29,12.18
2,16.46,14.54,14.71,15.13,14.77,16.48,16.04,14.72,15.64,14.70,14.69,16.45,14.60,14.98,16.29,14.73,14.68,16.43,16.51,14.71,14.70,14.77,16.35,14.73,14.70,14.69,15.28,16.13,14.53,14.70,14.57,16.63
4,16.04,16.04,16.73,16.07,16.01,16.01,16.80,17.52,16.10,16.52,17.12,16.04,16.02,16.67,16.16,16.05,16.01,19.38,17.74,16.05,18.18,16.07,16.05,17.06,18.20,16.04,16.04,19.19,16.08,16.39,17.78,15.85
8,16.35,16.34,20.70,17.14,16.35,18.21,16.53,16.19,16.23,17.65,16.45,16.21,21.16,16.37,16.31,16.91,17.01,19.93,16.45,16.33,20.89,23.40,16.27,16.39,16.19,16.25,18.30,23.27,16.20,20.46,17.14,16.25
16,23.89,21.45,37.02,41.33,19.36,32.84,40.74,25.80,36.18,39.52,23.23,20.74,29.94,26.28,28.53,31.96,27.17,39.87,31.67,19.48,38.41,41.58,20.53,18.81,18.71,31.06,42.31,27.28,24.09,38.79,34.84,20.62
32,139.67,52.67,37.49,70.22,35.56,59.13,138.74,63.38,55.33,81.11,29.11,46.43,48.41,45.30,78.19,87.32,65.06,150.20,56.84,32.73,51.80,110.39,29.01,40.50,29.44,80.38,51.69,65.52,39.06,76.93,100.86,51.15
64,94.36,73.24,72.68,129.95,86.97,122.33,90.11,63.72,78.34,99.33,87.86,72.40,122.50,128.13,61.08,73.00,127.32,77.80,63.33,92.36,82.94,73.03,104.84,89.81,67.08,66.48,114.51,129.38,73.68,68.47,109.33,114.32
128,132.81,90.68,79.25,94.95,108.34,91.80,83.30,85.60,134.34,80.77,77.54,137.55,79.13,116.41,130.09,86.06,92.84,133.80,79.95,97.77,108.46,77.75,94.47,139.78,122.67,90.62,79.61,110.21,96.56,77.38,91.89,157.32
256,122.85,89.79,94.34,95.51,102.01,84.94,102.35,149.52,89.50,86.64,108.60,161.45,126.84,90.87,108.46,100.07,98.05,173.92,85.38,123.71,144.76,85.31,105.49,120.12,149.31,87.22,88.11,115.72,91.76,83.92,97.56,171.92
512,182.00,105.74,97.91,93.95,144.15,122.53,157.60,92.31,106.10,97.46,153.87,100.78,112.03,109.51,105.55,96.02,89.37,182.79,161.93,91.38,136.32,178.59,102.17,91.22,126.71,91.16,99.09,182.03,96.89,91.58,91.92,181.67
