size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,11.88,11.85,12.10,11.88,12.27,11.84,11.88,12.16,12.29,11.88,13.16,11.86,11.89,12.08,12.31,11.89,11.90,11.97,12.07,12.35,12.29,12.13,13.22,12.12,12.15,13.14,11.82,11.94,12.26,12.44,11.85,11.64,11.95,11.77,11.95,11.84,11.62,12.07,12.27,12.04
2,14.59,14.54,16.21,15.87,14.84,16.07,14.51,14.59,15.91,15.28,14.89,15.36,14.64,14.55,17.99,15.21,15.06,14.58,14.60,15.17,16.39,15.12,15.85,14.55,14.30,15.05,14.77,14.72,14.58,14.55,14.93,14.52,16.07,14.83,14.67,14.89,14.54,14.57,16.05,17.55
4,16.57,17.25,19.44,16.15,16.23,16.07,16.08,17.48,20.13,16.61,17.23,16.48,16.11,16.13,18.61,18.94,17.57,16.23,16.20,24.42,16.96,18.28,16.22,16.12,24.29,16.54,17.95,16.48,16.15,16.05,18.54,16.99,17.36,16.11,16.22,16.79,16.07,18.66,18.28,16.08
8,18.19,16.75,24.91,16.36,18.82,24.64,16.09,16.41,23.01,20.78,19.37,21.58,16.54,16.34,22.92,16.35,18.05,16.58,16.35,34.18,20.28,16.43,19.81,16.65,17.12,23.01,16.25,17.43,20.05,17.71,16.73,20.01,31.26,16.25,16.69,17.15,16.79,22.40,16.39,18.60
16,26.32,27.34,43.34,31.92,16.82,58.73,18.99,18.34,58.07,75.70,33.16,48.00,16.75,17.06,35.18,43.12,33.41,45.61,24.98,59.74,33.89,19.85,35.25,40.87,85.11,50.19,28.54,41.52,30.38,57.94,38.49,43.83,71.59,17.51,41.40,18.48,31.03,89.42,37.45,48.36
32,54.20,82.47,71.21,78.69,49.96,91.02,41.41,63.54,104.09,67.80,72.21,100.79,62.92,33.31,90.14,65.07,100.41,63.94,96.03,104.12,60.20,31.72,96.36,106.58,75.92,67.31,81.69,53.09,77.61,49.79,83.71,79.06,85.41,86.33,54.16,97.32,76.89,52.41,67.37,34.39
64,83.64,149.52,77.40,122.94,116.47,64.09,110.24,135.88,165.80,109.27,153.34,84.29,76.43,140.78,85.50,136.28,149.07,122.30,122.32,61.26,116.12,141.89,140.09,130.93,62.06,123.67,128.35,59.80,142.01,132.83,66.75,173.68,140.01,127.05,105.74,64.16,133.75,148.06,93.69,97.03
128,154.75,168.59,111.96,147.27,78.19,153.22,142.15,76.39,181.33,111.94,153.65,148.95,115.86,171.31,77.68,154.50,146.85,76.56,176.01,117.27,116.12,142.46,153.78,179.12,77.43,124.11,151.41,155.08,179.12,75.50,151.21,142.63,122.88,181.13,76.94,112.87,142.62,152.27,175.99,77.09
256,112.01,162.42,159.28,185.57,84.72,157.21,162.73,123.23,186.26,83.62,142.75,177.43,82.44,192.41,132.11,83.24,174.16,139.68,190.66,129.10,130.19,187.47,82.52,163.25,150.06,89.67,162.63,90.06,187.67,158.99,158.57,162.02,127.59,185.28,84.27,126.93,162.68,158.34,183.93,83.89
512,130.38,195.99,162.41,187.24,87.61,164.16,179.74,129.18,192.18,87.11,164.77,204.95,129.35,200.24,87.76,162.68,195.19,130.01,185.70,87.66,85.83,192.18,164.68,180.17,130.18,120.54,187.75,161.30,195.30,90.35,164.64,191.48,130.81,180.22,87.50,86.34,180.77,164.69,192.36,130.39
