size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,11.81,11.69,13.31,11.93,11.77,11.64,13.39,12.18,11.69,12.41,11.69,12.33,11.64,11.64,11.65,11.94,11.74,13.33,12.35,11.63,11.65,13.07,11.89,13.22,11.76,11.89,11.66,11.72,12.01,12.46,13.17,11.67,13.17,13.00,11.66,12.15,13.14,11.69,11.84,11.94,11.66,11.97,11.79,11.87,14.13,12.60,11.68,11.72,13.16,11.68,13.00,11.66,12.40,14.69,11.70,11.64
2,14.96,14.86,21.49,15.23,15.76,14.69,15.19,14.79,14.74,21.08,15.47,16.40,15.93,14.73,21.83,14.69,14.80,15.01,15.63,19.25,14.88,14.76,14.95,16.34,14.68,15.75,16.09,14.87,18.95,17.18,17.19,14.76,15.45,16.83,14.73,15.43,14.75,14.81,15.00,20.89,14.82,15.96,14.76,14.75,14.78,19.41,15.40,15.08,20.88,14.90,17.69,22.05,16.68,16.14,14.52,14.66
4,16.25,16.40,16.68,16.27,18.94,16.19,17.13,17.33,16.63,26.69,16.19,17.77,17.16,16.32,24.02,26.79,16.26,16.31,32.58,16.07,16.29,16.76,18.00,17.08,16.63,16.14,16.27,18.55,17.22,19.20,17.13,16.20,18.61,21.07,16.15,17.28,23.32,16.20,18.31,16.53,16.14,17.02,17.79,16.09,16.27,26.69,17.55,16.52,24.49,19.27,17.36,16.86,16.12,20.65,15.98,16.22
8,18.80,17.88,25.64,18.25,19.17,31.15,51.13,19.83,17.80,53.53,28.48,17.81,16.86,25.51,22.82,19.16,24.29,19.90,34.12,23.20,30.25,35.17,20.03,30.16,26.53,20.75,17.00,25.77,28.07,18.35,23.23,16.17,36.75,30.42,23.19,37.26,18.46,26.49,19.51,24.62,25.22,23.87,26.08,17.38,27.97,29.72,25.95,19.76,30.30,39.22,16.41,30.93,16.61,27.08,16.09,20.52
16,92.15,68.76,19.31,72.92,16.98,99.62,58.32,24.45,22.91,20.28,17.33,56.21,35.73,70.99,16.90,49.01,18.89,68.70,78.02,105.17,71.94,52.22,81.10,34.63,81.41,17.02,72.08,81.58,48.40,16.76,33.69,56.64,85.56,74.23,16.93,39.33,35.36,31.65,81.87,19.66,37.07,79.83,16.97,77.18,78.80,35.77,20.42,16.67,48.44,29.78,78.81,53.15,16.58,17.12,16.10,41.50
32,101.82,99.64,72.53,191.58,79.15,184.22,83.59,80.17,133.93,90.39,117.45,45.18,82.15,88.74,113.99,128.06,66.71,61.22,110.89,43.50,75.71,103.51,87.96,127.61,174.18,33.76,58.00,116.39,71.55,180.36,113.52,77.39,123.89,163.34,29.11,59.14,111.29,76.20,109.03,77.60,98.46,87.60,43.20,90.08,57.35,136.26,92.72,78.34,79.50,120.49,151.65,86.29,72.53,40.35,38.19,70.96
64,161.12,191.15,160.99,199.83,66.55,127.96,97.06,72.06,204.76,161.47,202.67,158.60,153.38,85.25,152.76,204.47,177.29,163.76,66.57,200.83,93.01,122.52,188.12,71.59,176.92,87.64,197.72,169.59,108.10,199.02,83.22,187.13,135.30,177.21,84.88,177.32,135.22,147.63,195.35,70.68,176.24,82.85,87.31,165.23,68.94,201.90,143.34,194.49,166.96,86.39,190.33,85.14,173.60,175.37,70.56,86.62
128,162.12,180.34,94.84,203.00,164.72,199.56,82.45,101.02,189.72,178.11,179.92,81.82,154.63,114.22,179.94,211.51,81.30,208.95,91.84,186.47,157.65,178.28,198.33,82.30,215.97,159.65,221.90,99.21,160.33,196.02,77.48,190.35,170.90,194.52,109.10,142.88,197.14,127.54,196.34,75.39,192.81,131.64,92.05,215.03,88.18,197.07,124.57,215.17,144.96,76.53,185.55,114.43,193.90,163.01,129.89,191.57
256,166.51,225.05,173.21,221.57,85.18,204.33,116.69,161.10,227.49,174.63,224.74,129.06,197.52,83.28,184.20,224.10,87.03,217.03,139.60,206.36,105.42,106.35,228.72,163.15,223.56,85.53,187.53,176.79,103.10,231.23,146.72,173.87,180.24,232.91,87.60,148.32,198.95,182.42,216.45,84.95,226.05,114.09,177.92,208.98,133.81,214.00,86.91,221.98,119.71,83.93,190.08,125.20,197.38,189.84,145.29,202.83
512,189.71,229.99,164.28,224.36,93.08,200.49,96.59,164.61,215.27,189.08,208.86,91.73,213.61,101.37,188.67,239.95,143.35,238.60,135.33,185.48,91.68,187.52,233.86,148.71,235.33,108.00,185.95,95.20,141.78,209.36,86.19,219.20,151.50,219.92,157.40,187.45,229.63,163.35,224.17,92.64,204.68,94.90,86.80,194.60,172.58,208.90,141.83,186.52,146.90,90.51,235.32,164.80,232.02,104.03,179.96,198.82
