size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,11.67,13.95,12.08,13.29,12.45,11.87,12.02,11.66,11.78,11.87,11.63,11.91,12.63,14.55,13.20,11.64,11.73,12.65,11.69,11.67,12.37,13.01,11.94,12.13,11.69,11.72,11.77,14.63,11.66,11.66,11.62,12.42,12.14,12.19,11.70,11.69,12.47,11.99,12.20,11.64,13.41,12.86,13.93,11.66,11.76,12.58,11.68,11.98,11.66,13.51,12.12,11.68,12.97,11.75,12.95,12.69,11.99,11.66,11.61,12.23,11.63,11.70,11.61,12.16
2,17.23,14.87,14.87,15.05,19.14,14.79,14.69,17.35,15.51,21.96,14.76,14.80,14.80,15.14,15.22,16.75,16.57,15.11,14.75,14.95,15.70,15.24,14.67,14.83,14.74,14.72,14.85,15.74,21.91,19.95,14.68,14.68,14.83,14.99,15.41,14.80,15.23,15.36,20.72,20.72,19.52,18.68,16.11,14.80,15.17,21.12,14.82,14.65,14.73,22.29,15.09,15.38,15.96,15.57,15.16,14.73,21.29,14.83,14.78,15.05,15.45,15.63,14.90,14.71
4,16.91,15.81,15.69,17.17,15.22,15.14,15.30,16.62,15.46,17.12,15.03,15.74,16.47,15.74,25.47,15.08,18.69,16.44,15.08,15.47,15.47,26.47,17.52,15.02,15.13,15.78,15.67,18.65,16.67,15.80,15.72,15.10,16.19,19.13,20.48,16.13,21.31,33.86,30.96,15.05,15.20,16.30,15.60,17.91,17.42,15.16,18.20,15.60,16.51,19.86,17.49,14.89,15.51,16.10,15.13,19.00,19.32,16.02,15.58,15.72,17.27,21.32,15.06,15.13
8,19.99,20.66,30.72,30.48,19.80,41.12,43.60,21.07,24.26,21.73,28.53,27.70,23.82,32.15,24.61,22.11,22.17,21.93,25.73,20.70,32.22,29.43,26.23,31.48,26.91,31.12,27.33,28.71,23.08,21.73,23.24,23.35,17.18,31.13,22.71,21.27,17.40,28.19,54.08,22.85,25.32,25.54,26.57,26.83,25.15,20.50,27.03,26.27,22.38,26.77,23.20,24.07,28.73,20.74,29.11,31.86,23.05,23.93,27.34,27.93,27.18,20.58,23.63,26.68
16,16.10,15.15,37.39,43.69,17.59,58.87,64.22,40.46,53.93,86.41,38.90,91.07,38.70,15.27,14.97,14.91,28.49,43.18,24.15,40.98,15.99,15.07,66.34,36.02,35.05,119.89,15.12,69.55,104.43,15.98,14.99,96.10,29.74,91.19,70.83,141.35,84.23,54.00,86.19,41.73,16.47,54.32,128.61,46.43,22.63,78.18,67.21,77.09,15.22,100.80,30.58,14.99,18.72,62.53,24.90,60.49,14.92,65.44,176.41,82.81,15.05,60.67,137.69,70.89
32,138.70,82.11,219.87,73.48,30.41,92.78,217.37,60.38,105.10,100.39,66.66,150.79,153.21,90.09,86.61,63.11,49.99,142.21,26.96,136.58,166.40,31.59,137.98,111.39,99.25,140.48,104.98,178.21,68.41,37.59,108.68,133.80,208.24,193.00,101.88,65.47,62.55,153.21,58.45,205.14,117.42,77.25,183.03,144.50,134.87,113.71,38.81,89.59,34.94,48.16,196.72,89.11,170.75,78.57,210.36,94.83,88.82,67.89,175.63,130.19,81.20,86.89,67.35,157.15
64,193.51,194.51,189.50,190.67,85.66,132.99,68.36,124.65,151.88,161.92,215.15,156.99,96.26,203.90,66.14,214.84,65.72,170.86,101.09,118.73,191.75,121.30,188.05,165.01,192.04,161.61,91.20,81.62,91.47,103.42,109.96,110.30,67.50,106.06,189.08,117.68,126.61,104.46,149.68,114.64,164.23,112.77,112.52,100.20,88.56,84.00,108.71,111.56,95.84,180.60,84.87,115.79,123.21,95.30,168.68,83.13,99.57,104.82,118.79,114.35,97.67,86.60,102.29,150.02
128,192.98,150.53,192.89,188.29,83.68,141.87,92.38,124.93,130.92,113.96,210.70,147.09,121.54,87.95,197.11,105.70,166.48,104.79,169.25,116.21,138.11,110.93,92.89,99.77,195.05,137.49,113.82,192.33,115.12,80.45,108.72,190.86,81.50,131.59,156.32,184.79,136.17,112.98,123.09,121.12,102.47,125.55,151.20,129.57,112.22,97.53,111.27,96.08,102.94,99.53,190.23,94.52,106.09,88.42,106.57,195.11,144.91,97.60,116.27,104.64,101.72,105.13,122.49,109.49
256,119.03,88.01,196.89,141.94,99.22,203.58,195.94,132.43,192.89,122.47,194.64,104.01,121.23,96.36,108.23,108.81,195.79,192.23,169.52,200.73,197.62,87.14,84.70,158.01,195.18,139.21,193.68,177.39,98.95,97.52,90.68,111.66,161.51,195.25,200.28,184.79,181.47,89.71,170.72,102.34,134.62,109.81,195.59,103.01,133.15,156.18,140.19,97.95,173.43,168.31,210.86,196.52,97.30,94.02,146.65,98.96,241.89,195.26,241.03,194.33,87.42,87.53,144.03,112.94
512,192.55,201.98,213.41,208.66,210.09,106.84,163.21,91.84,229.38,118.19,212.45,129.69,230.15,104.68,232.16,109.16,247.08,170.90,226.73,128.80,247.62,101.13,165.33,100.71,212.55,213.56,199.09,217.84,206.14,100.11,137.25,94.21,149.86,234.47,207.35,235.35,88.08,194.09,151.37,135.23,211.72,202.11,194.11,135.90,209.33,154.08,179.04,87.03,165.36,210.29,210.17,193.17,106.13,89.62,203.23,168.53,212.50,185.30,221.54,188.43,218.37,100.28,98.99,151.26
