size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,11.89,11.91,13.20,13.51,12.90,11.84,12.81,13.40,12.92,13.04,12.33,13.00,12.29,12.26,12.38,12.44,11.78,12.01,14.13,11.82,11.95,12.16,12.39,12.11,14.82,14.87,13.03,12.09,12.46,12.52,12.48,12.90,12.39,13.40,11.96,12.19,11.92,13.70,12.64,11.84,14.49,12.98,12.13,11.89,12.60,15.50,13.44,11.95,13.31,12.46,11.97,12.41,11.87,13.72,12.06,12.07,13.84,12.06,14.17,12.04,12.11,11.84,13.32,11.90,12.17,15.16,12.01,11.99,12.07,12.37,14.69,13.66
2,14.60,14.86,17.28,14.66,16.67,18.98,27.29,14.85,16.51,14.68,16.20,18.35,17.19,14.76,15.81,14.59,14.58,15.07,17.26,14.59,14.82,22.21,18.52,14.60,14.58,14.58,16.94,14.80,17.34,15.90,14.79,14.62,15.87,15.59,14.59,20.53,22.62,21.92,14.70,14.65,19.03,15.84,14.69,14.55,15.23,15.83,14.61,14.64,17.22,16.78,16.95,18.52,14.85,24.59,15.08,16.56,14.66,15.74,22.71,14.62,18.04,15.06,14.89,24.89,14.71,14.88,14.80,14.62,14.60,17.61,16.92,15.17
4,16.31,15.61,16.35,26.73,15.70,14.93,15.99,15.48,18.26,15.34,21.06,15.74,19.90,16.41,21.56,15.17,16.00,27.10,15.58,14.92,15.34,18.16,15.89,15.24,16.59,15.53,17.60,15.35,17.17,15.41,14.90,19.09,23.71,15.95,15.46,16.27,16.21,31.21,15.19,22.10,16.92,14.85,24.31,16.63,15.56,16.44,14.89,15.17,19.84,18.05,15.57,21.31,15.39,16.17,15.69,15.12,15.40,16.44,18.55,15.00,16.69,15.24,15.74,15.70,16.83,15.35,15.79,15.53,14.91,27.40,16.14,15.92
8,17.75,42.09,77.49,28.13,52.68,58.00,21.94,27.35,32.49,17.92,52.41,21.28,41.01,74.53,60.91,25.52,17.21,45.47,62.60,33.67,16.51,43.50,61.22,51.92,17.72,32.70,29.68,21.37,51.78,52.43,27.78,21.63,37.00,23.17,52.14,62.00,47.14,44.83,21.72,48.11,23.04,18.03,20.49,52.68,68.56,69.78,50.12,15.64,27.17,21.02,28.61,24.46,51.91,54.53,71.61,41.01,18.44,38.06,19.22,30.97,33.53,49.63,41.56,22.18,57.68,16.93,31.52,22.42,46.72,52.87,22.30,66.23
16,69.25,106.86,94.18,15.36,50.73,15.00,52.62,121.96,145.37,36.45,49.52,74.13,98.50,15.79,97.89,21.01,38.02,115.05,83.46,14.93,39.67,85.63,16.91,15.51,33.40,52.89,112.30,14.93,128.13,89.73,30.49,55.64,117.75,69.69,123.19,71.37,53.34,16.79,39.26,44.56,44.87,47.46,59.07,62.42,16.58,61.46,68.13,15.06,28.44,29.56,23.40,38.84,34.36,20.01,69.16,14.92,27.18,140.69,51.75,93.82,24.56,55.97,87.83,90.74,169.68,14.90,17.08,80.68,108.85,28.04,14.95,47.95
32,48.13,184.38,118.53,39.70,86.78,175.86,103.06,159.28,99.19,71.14,202.60,176.35,179.26,80.28,58.19,64.93,175.39,192.79,57.89,156.71,164.82,207.66,177.54,189.40,63.53,140.52,166.16,43.72,202.98,116.25,39.78,94.52,211.95,161.90,195.51,137.91,173.67,160.52,158.93,198.90,39.18,39.61,168.81,212.56,85.86,53.56,123.68,78.74,187.14,104.63,190.65,217.65,209.36,230.46,107.03,154.46,133.66,108.81,83.58,128.53,99.70,134.92,79.04,181.34,222.72,213.75,228.80,108.86,223.51,86.11,70.16,54.80
64,82.60,201.15,221.00,236.49,173.47,236.81,146.51,180.89,74.92,120.64,232.08,118.70,214.42,112.61,229.48,89.95,150.89,87.52,185.20,204.54,100.80,208.66,73.48,200.93,236.20,187.23,90.67,211.31,232.03,92.60,178.34,79.72,210.45,111.90,236.53,140.53,225.22,205.13,89.30,210.78,193.41,117.38,113.32,208.73,75.65,119.08,211.94,136.68,200.70,71.58,187.91,116.37,214.83,125.34,79.64,213.83,116.89,205.93,135.60,220.90,97.98,184.20,119.28,187.04,224.95,188.69,213.60,98.37,181.05,71.72,218.28,123.66
128,156.85,232.29,122.54,239.61,229.43,219.77,119.47,205.18,80.61,111.02,235.85,221.67,234.07,204.13,225.81,99.94,156.03,79.93,238.36,177.88,89.79,192.00,187.91,151.37,91.67,196.81,90.95,229.14,214.27,195.68,207.18,99.59,223.08,107.58,218.20,83.91,217.63,206.65,85.83,194.01,83.94,156.57,201.06,185.40,156.75,95.77,228.89,148.03,224.03,118.58,213.81,119.18,236.59,97.05,95.84,194.06,146.47,216.85,84.78,212.36,238.45,218.88,137.85,239.09,233.75,118.14,234.11,97.80,202.34,162.63,230.36,85.10
256,85.71,223.95,235.93,236.03,181.56,240.09,130.16,214.69,110.10,206.85,247.94,223.63,241.62,110.00,215.23,106.62,183.64,90.74,241.06,243.08,127.38,240.89,188.04,229.24,108.83,241.29,90.46,187.35,238.63,242.45,242.08,92.99,236.14,104.96,227.02,93.07,122.02,197.17,211.91,215.12,114.43,176.19,221.71,217.63,87.77,239.23,238.59,111.36,217.69,118.82,232.30,132.38,228.08,91.54,206.62,241.32,106.73,228.62,226.65,219.83,106.83,239.10,91.80,149.77,241.69,211.69,236.45,219.64,219.43,95.15,248.27,90.22
512,235.08,261.53,203.17,252.28,114.32,261.31,163.91,187.87,91.63,188.54,258.84,238.71,249.40,144.05,188.25,135.09,254.77,92.37,240.57,209.00,144.11,213.99,147.82,218.09,145.96,215.77,90.74,143.83,233.52,136.48,237.63,220.49,198.98,223.59,205.91,89.82,240.40,215.31,166.28,210.17,128.79,214.37,182.48,218.08,92.84,240.27,209.55,188.48,215.84,104.69,212.49,135.68,216.11,95.70,239.77,215.86,130.63,210.06,109.84,211.01,168.21,215.56,100.91,242.21,247.55,157.66,250.03,138.78,219.87,173.64,218.91,89.77
