size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1,13.44,16.28,13.12,14.25,15.54,12.53,12.22,12.08,12.70,13.30,12.45,12.48,13.39,12.24,12.73,15.99,12.14,13.19,12.79,12.27,12.30,13.84,12.53,16.02,13.81,12.32,12.57,12.24,13.27,12.50,12.67,13.09,12.16,12.91,14.37,12.78,12.53,12.14,13.27,12.50,12.26,12.33,12.48,15.16,13.11,12.74,13.32,15.08,13.39,13.43,12.33,12.34,14.22,14.17,12.37,14.43,14.91,13.70,13.73,12.42,13.60,16.18,13.86,12.55,12.24,12.47,14.33,12.30,12.32,12.59,12.27,12.58,13.23,12.68,12.43,15.67,16.42,15.26,13.37,12.55
2,15.30,20.99,17.61,17.36,16.81,17.10,14.89,14.76,15.36,18.65,22.96,16.13,14.81,19.14,14.98,15.53,16.38,14.81,15.18,15.85,16.41,22.12,17.42,15.22,17.13,15.58,14.76,14.78,15.99,18.16,15.44,15.52,14.84,24.62,16.11,15.56,16.22,16.78,15.36,14.92,15.17,14.84,14.84,25.27,16.00,15.77,23.91,16.76,15.07,15.77,19.43,15.74,15.31,14.92,16.72,15.08,14.91,14.85,15.91,20.77,25.83,16.73,14.88,14.88,15.60,14.98,15.18,22.67,15.00,15.01,14.97,16.61,15.40,22.41,22.70,17.53,14.81,14.99,16.49,15.01
4,20.88,22.78,20.50,16.49,22.80,16.25,16.33,18.18,16.83,31.27,19.74,33.13,39.13,16.43,16.27,16.27,19.51,18.16,16.32,17.46,16.34,16.35,21.25,16.82,30.72,40.37,16.13,17.18,27.59,19.81,21.14,19.02,16.39,38.19,20.50,16.16,17.14,18.27,18.34,24.17,22.45,16.18,16.57,18.11,16.92,17.23,16.14,17.36,26.82,40.00,18.62,16.42,28.71,16.37,17.28,22.48,17.53,18.27,16.38,18.02,16.41,16.78,16.34,16.31,18.94,25.63,24.02,16.16,19.57,40.69,26.23,24.78,16.28,16.97,16.13,21.83,36.16,16.15,17.00,16.86
8,24.31,17.38,44.04,17.14,60.35,73.87,32.92,42.61,22.15,88.88,95.31,57.29,20.42,43.35,24.01,25.38,99.45,41.82,29.53,29.58,18.21,34.70,76.91,32.68,30.68,57.72,17.30,31.71,90.33,19.01,38.96,39.35,22.15,93.22,60.47,17.17,31.48,79.61,46.71,28.29,58.14,19.06,20.21,25.94,18.07,22.47,27.37,69.08,26.42,77.93,98.06,25.54,45.16,38.91,19.44,36.75,78.31,41.97,17.85,56.45,21.07,18.51,21.04,18.88,21.99,82.27,79.53,24.68,77.69,79.51,78.82,20.33,19.93,52.43,21.56,72.49,88.45,24.37,23.75,22.64
16,91.82,16.87,67.72,45.98,61.55,150.97,74.38,208.07,90.95,39.49,183.50,102.97,34.16,94.98,44.17,92.67,152.07,73.08,25.72,48.27,16.80,80.33,131.96,45.52,178.23,83.14,132.74,97.91,210.51,82.45,125.52,53.91,44.57,100.61,39.08,23.90,48.33,98.16,17.15,42.14,112.34,19.28,80.88,118.99,82.87,38.61,130.32,137.56,16.81,58.44,57.07,25.64,105.37,171.58,16.86,19.71,145.33,108.18,60.25,38.65,16.89,75.61,147.57,93.42,164.32,83.18,139.12,47.15,191.14,79.39,201.07,94.07,42.13,69.17,93.02,65.21,86.84,80.23,18.44,132.88
32,149.22,190.76,119.30,59.18,105.21,86.71,152.90,89.99,136.91,188.40,159.19,78.86,116.29,242.00,196.77,247.99,79.17,177.94,52.09,71.59,94.95,40.41,209.47,210.67,158.85,223.15,113.00,144.17,46.29,219.92,115.37,217.87,86.07,228.19,101.84,145.60,71.77,72.33,94.05,157.04,100.38,105.36,206.31,93.94,112.39,93.87,132.51,99.94,118.49,98.07,99.25,202.70,73.23,200.42,110.74,196.94,99.79,130.54,126.12,41.57,143.41,109.75,91.16,91.03,158.58,219.04,163.47,203.38,122.47,47.04,114.64,208.08,94.48,45.24,105.25,194.88,66.98,204.37,102.03,220.96
64,184.44,101.12,162.36,167.20,160.90,92.90,172.84,100.80,126.70,119.81,206.33,150.14,208.78,141.69,85.52,115.52,199.86,125.33,142.98,76.69,98.13,193.62,96.72,213.96,116.25,104.09,122.80,143.09,116.78,119.57,160.40,210.58,102.22,204.82,139.54,78.97,93.32,107.83,118.35,172.34,110.91,89.78,124.06,124.13,211.67,107.79,166.23,115.98,120.82,104.74,101.54,115.90,102.77,132.34,112.17,123.36,127.99,107.79,139.81,103.95,97.11,234.55,93.27,235.91,135.51,170.85,159.83,177.35,201.86,68.77,119.33,99.15,227.71,106.85,218.55,100.70,141.07,97.35,172.29,111.98
128,201.79,202.60,138.59,141.35,131.46,120.18,144.58,90.69,102.80,126.22,151.07,213.87,206.08,100.13,237.89,87.61,237.88,197.73,109.12,105.45,99.86,107.07,164.96,107.36,180.72,103.81,124.35,107.30,198.58,128.02,206.20,252.80,180.58,258.66,103.49,264.47,85.62,211.87,169.22,82.12,148.75,134.74,213.10,187.13,220.27,165.56,209.69,161.16,87.23,83.14,122.81,143.61,204.40,102.13,115.00,98.93,194.61,183.41,106.30,125.67,210.12,182.50,231.19,210.76,86.88,86.04,222.10,113.01,222.12,167.12,213.11,196.87,151.32,151.39,216.82,162.85,92.92,154.54,144.83,84.52
256,219.25,136.97,231.15,226.92,157.18,232.86,231.45,157.38,87.33,97.06,208.96,149.03,216.16,198.77,207.40,127.81,187.94,205.27,120.39,86.35,236.21,235.55,222.27,252.47,176.01,101.93,109.01,256.74,94.12,94.42,221.05,135.51,136.98,235.30,201.15,234.39,87.23,96.82,188.38,179.44,237.70,203.54,263.71,216.88,120.67,141.28,262.04,127.73,100.63,90.79,152.66,218.23,243.77,202.00,104.53,148.49,249.82,131.26,102.71,93.21,219.92,217.17,198.24,113.27,105.31,88.40,196.66,204.33,146.81,146.29,267.95,241.52,266.81,133.86,88.18,237.76,253.36,93.99,158.06,96.12
512,208.53,184.16,217.24,240.11,185.03,228.03,123.69,256.93,108.16,93.75,214.48,140.39,215.39,217.31,237.35,107.24,236.51,190.37,193.16,96.44,211.13,217.06,216.26,218.86,113.90,187.97,114.81,216.09,99.68,99.28,214.55,209.55,170.90,200.98,139.72,215.41,98.43,115.73,211.92,149.91,266.06,215.92,270.59,216.24,269.49,172.64,270.04,144.30,108.16,94.93,216.02,214.66,210.75,145.62,160.27,209.31,203.53,176.12,136.89,90.34,216.05,252.72,133.63,248.47,148.23,268.07,208.09,142.82,148.05,89.99,245.83,217.50,218.06,205.94,99.12,117.29,142.28,103.05,247.46,117.98
