size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
1,11.77,11.71,11.79,12.18,12.87,12.29,12.94,11.77,12.09,12.00,12.40,11.73,11.77,11.94,13.28,16.37,11.72,12.03,12.33,13.10,12.83,12.49,11.82,13.11,11.90,12.57,12.72,14.23,13.45,11.71,11.99,11.85,12.25,11.83,11.71,14.10,12.30,11.90,12.47,13.11,11.69,11.88,14.22,11.94,11.71,13.30,11.98,11.97,12.58,11.70,16.48,12.74,11.95,12.03,12.43,11.83,11.93,11.86,13.10,12.72,13.22,13.18,12.11,13.98,12.09,12.03,11.75,14.54,11.88,12.71,13.76,12.11,11.76,12.23,12.42,11.83,11.99,11.71,12.10,12.60,14.85,14.14,11.89,11.77,11.65,11.95,12.91,14.38
2,15.49,15.05,18.86,14.75,22.31,15.88,20.29,15.30,16.02,15.56,18.88,14.84,15.21,17.27,14.56,18.72,18.60,16.86,23.14,15.30,18.57,14.98,14.84,15.14,16.77,19.58,15.31,23.00,20.78,14.73,16.17,16.43,15.00,14.77,24.71,15.61,18.14,18.45,17.32,14.94,14.65,14.88,15.37,17.62,14.75,17.44,25.27,17.53,14.90,14.83,14.98,14.81,14.80,17.26,15.83,15.43,19.12,20.58,14.86,14.98,16.97,15.28,15.27,17.33,15.30,15.02,15.47,15.93,15.49,14.75,14.72,16.45,14.79,16.94,15.62,15.51,16.42,15.05,14.95,15.55,17.57,15.19,16.91,15.72,14.90,18.19,20.03,15.04
4,16.40,21.25,55.26,20.58,22.60,16.84,28.48,19.19,24.33,16.42,18.83,23.71,16.03,17.56,17.53,36.75,27.88,16.93,34.99,16.51,25.84,54.09,37.19,21.21,16.47,41.79,16.68,19.03,21.77,17.17,18.46,16.25,44.00,17.66,28.39,28.55,16.17,33.70,28.67,16.77,20.15,16.84,20.96,21.74,16.31,22.10,28.91,42.67,20.52,18.57,23.43,16.24,38.74,20.72,33.79,46.45,36.35,24.77,30.84,20.86,16.55,15.97,16.06,24.90,29.92,28.27,16.41,32.94,17.18,22.10,25.71,19.91,17.89,19.87,51.64,16.32,18.72,16.45,16.76,42.83,32.66,18.62,22.11,16.76,16.53,22.67,25.01,39.36
8,32.52,111.65,93.15,16.45,105.80,17.48,33.31,107.93,42.19,81.21,25.66,84.61,119.33,45.14,16.28,26.14,20.96,23.67,110.53,31.63,59.93,100.44,96.59,25.85,22.28,50.26,19.49,16.95,83.15,16.19,26.44,16.59,59.53,100.60,82.63,35.27,16.28,68.59,36.16,20.38,16.94,22.87,38.62,57.03,29.58,18.11,34.51,16.62,94.58,85.22,30.66,73.24,58.58,16.79,62.97,39.84,33.63,72.14,16.78,94.94,27.08,45.29,24.64,22.29,24.93,30.81,20.59,17.64,23.85,27.06,71.18,24.88,93.22,22.43,20.68,66.46,16.55,29.56,18.24,108.87,21.90,52.76,16.27,56.01,24.66,36.85,26.03,35.97
16,42.68,53.73,30.97,22.54,110.55,42.07,71.80,24.01,105.81,85.41,57.89,77.74,175.31,79.17,113.51,80.32,54.88,63.38,29.14,32.61,17.13,30.79,132.66,91.34,35.76,125.98,174.48,85.52,109.72,106.57,217.05,87.90,23.73,158.51,17.16,22.19,113.08,56.47,22.91,111.03,85.78,80.64,16.61,33.68,66.47,86.78,213.11,85.96,114.65,100.33,16.89,156.62,90.42,21.33,93.13,37.14,42.77,86.72,63.23,20.13,16.06,26.60,96.80,18.14,37.70,107.83,80.83,148.28,43.70,168.18,40.99,169.95,87.16,95.42,148.01,163.77,21.89,65.56,72.02,97.69,19.66,70.69,79.93,91.93,123.56,165.95,73.40,62.89
32,194.62,152.71,66.91,198.99,117.38,206.39,164.88,202.78,189.95,187.62,66.50,119.32,219.52,122.00,204.43,156.82,121.87,228.91,202.51,65.27,206.62,83.36,213.78,185.71,90.23,174.08,208.22,96.52,64.50,225.25,75.75,211.34,196.58,191.94,142.76,79.05,217.79,141.66,195.61,118.61,198.58,199.72,221.67,63.61,141.59,119.97,88.16,153.10,190.71,209.77,141.16,202.08,52.28,196.99,141.41,224.57,218.03,133.64,121.19,231.93,216.44,97.22,202.03,87.10,214.89,59.96,178.12,134.22,66.25,164.54,73.32,172.50,203.79,188.86,92.47,112.86,200.03,152.09,104.79,189.09,199.39,152.19,218.82,162.50,221.70,47.81,165.99,85.07
64,102.31,148.63,177.08,212.63,86.99,178.18,223.60,217.21,244.72,211.82,82.83,109.21,233.94,222.28,256.48,85.99,252.52,204.72,234.56,74.98,116.24,193.66,130.15,191.85,88.52,198.17,206.54,194.88,209.49,203.91,84.04,215.89,116.98,87.11,189.32,201.43,176.77,211.57,213.81,110.52,199.99,74.38,195.05,218.82,120.17,196.34,90.69,169.17,211.02,209.75,131.90,211.05,80.56,207.36,209.43,226.65,210.40,227.16,202.59,98.50,184.11,140.41,218.07,84.44,162.48,89.36,237.94,213.02,82.64,180.26,101.48,203.66,195.76,198.36,243.00,200.13,94.85,73.69,193.41,80.15,159.49,173.60,213.08,208.89,200.30,168.52,183.00,171.14
128,92.64,241.43,83.10,242.80,252.58,257.33,189.21,247.23,223.46,153.56,99.15,107.47,215.76,177.80,195.99,89.78,203.40,255.77,197.24,224.44,196.02,91.32,211.28,200.39,148.68,219.65,204.82,182.86,121.54,195.48,92.31,221.83,92.09,124.05,213.62,95.63,251.38,94.84,241.42,212.67,256.10,214.97,200.98,102.20,95.00,159.00,108.63,209.93,234.75,194.30,114.98,180.30,97.12,200.76,236.20,105.55,198.58,262.55,185.24,234.54,189.74,112.84,214.72,83.44,196.89,147.16,200.72,240.55,104.05,180.53,88.64,237.39,132.52,196.99,130.03,217.78,215.51,212.70,193.62,178.76,197.82,95.69,212.58,229.48,187.79,108.46,192.30,90.90
256,271.90,231.08,176.87,216.03,90.61,210.39,113.91,233.62,240.92,220.36,97.34,236.71,203.24,235.98,212.02,101.51,223.72,94.75,209.98,137.72,202.29,97.54,157.97,209.45,288.21,223.20,117.18,197.54,224.95,234.37,111.84,205.81,92.81,205.15,216.61,208.85,204.83,88.01,229.99,290.26,231.85,96.28,233.49,125.49,263.68,199.88,99.52,210.01,141.81,206.62,260.25,179.73,154.57,194.79,94.28,156.62,226.43,104.11,259.66,91.49,198.94,222.48,246.00,127.19,193.48,199.26,280.08,208.03,104.16,203.60,243.28,210.57,143.72,230.82,92.67,225.77,126.63,284.71,203.94,125.54,209.68,233.82,217.63,151.34,230.65,101.64,230.31,93.89
512,263.03,272.07,244.40,272.34,207.77,237.03,115.86,188.69,96.67,198.76,148.43,210.83,228.98,199.64,204.77,189.70,210.22,189.42,229.58,93.34,190.98,106.61,185.09,213.77,108.03,215.33,213.45,217.70,241.55,210.01,103.26,217.43,100.05,230.50,223.39,115.33,222.17,154.79,238.11,233.40,240.55,144.08,211.99,100.49,235.20,218.80,189.49,210.55,215.07,196.74,123.16,215.21,122.17,202.58,96.23,215.95,217.78,119.13,215.26,151.35,205.09,215.57,231.95,95.01,227.04,174.64,224.82,247.46,228.72,258.60,139.75,257.62,104.09,275.23,101.89,187.85,170.75,101.80,195.86,323.21,218.34,221.73,257.09,112.23,259.67,101.22,189.62,204.35
