size (MB),0,1,2,3,4,5,6,7
1,10.36,10.38,10.40,10.39,10.40,10.38,10.38,10.37
2,12.96,12.95,12.98,13.01,12.99,13.00,12.97,12.97
4,14.26,14.27,14.35,14.29,14.28,14.27,14.26,14.27
8,16.95,14.38,14.52,14.37,14.43,14.40,14.37,14.43
16,15.28,15.27,15.27,15.32,15.04,15.23,15.27,15.34
32,27.45,27.31,27.64,27.80,27.48,27.36,27.44,27.50
64,58.39,58.01,58.61,58.71,58.87,58.30,58.79,58.98
128,73.10,73.45,74.00,73.96,73.56,72.89,73.95,73.90
256,80.66,80.80,82.01,81.47,82.13,80.66,81.48,81.59
512,85.13,84.36,84.87,84.95,85.23,84.16,84.84,85.59
