size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,11.74,11.99,14.09,14.27,12.78,11.99,11.83,12.30,12.32,11.90,11.91,11.92,11.78,12.52,12.53,11.88,11.78,11.74,13.03,13.42,11.87,11.88,14.66,11.93,13.87,11.99,11.75,13.77,14.62,11.87,11.74,15.50,12.54,12.59,13.33,12.29,15.37,12.71,12.19,12.69,11.76,11.76,12.74,12.90,14.87,11.84,11.90,12.65,12.88,11.86,11.99,12.01,14.40,12.69,12.81,11.90,12.56,14.15,12.14,11.90,12.83,12.60,12.02,12.00,11.84,13.07,12.75,12.48,13.27,12.71,12.83,11.89,11.84,11.70,12.21,12.31,11.69,11.84,14.72,11.72,13.57,13.41,12.29,12.63,11.88,12.16,11.89,12.52,12.11,11.72,13.28,12.54,11.85,12.85,12.77,11.90
2,15.65,14.78,16.03,14.95,28.35,23.93,15.57,14.95,15.69,15.73,15.78,17.64,14.95,19.36,15.36,15.90,14.91,15.05,14.99,15.24,27.97,15.09,19.25,17.07,18.64,18.50,14.94,17.62,17.23,14.47,14.88,17.76,16.34,15.34,19.35,15.14,23.55,19.40,14.99,15.54,15.17,14.98,15.19,18.93,19.96,15.14,15.43,15.14,18.12,15.10,15.44,21.37,14.92,14.90,15.78,15.93,15.79,20.64,15.18,15.46,15.40,14.91,15.33,16.93,15.28,17.40,15.84,15.92,15.05,16.75,16.84,15.13,15.80,15.37,17.95,17.69,15.19,15.49,15.01,19.12,15.11,15.04,19.88,18.14,15.40,16.07,16.02,24.28,27.93,15.10,16.27,20.58,15.06,15.06,15.32,15.76
4,18.34,37.98,18.25,19.30,49.97,19.21,17.16,17.58,17.34,17.48,20.97,18.35,35.69,47.71,17.54,17.80,36.93,22.47,17.18,17.19,18.22,19.43,17.22,17.91,17.58,19.52,19.33,32.49,18.14,15.96,18.08,17.58,33.31,20.84,19.07,16.51,23.07,34.15,19.62,18.62,19.40,18.30,26.99,17.95,17.42,20.01,18.06,17.44,20.20,17.05,19.01,41.47,21.88,19.56,18.97,33.64,18.94,16.72,21.81,17.36,17.65,20.24,17.14,39.46,30.79,40.41,18.12,16.62,17.32,16.74,26.38,17.35,19.16,18.36,19.85,37.43,23.36,16.94,18.52,16.66,18.93,16.78,19.95,29.21,29.91,30.98,17.12,17.81,31.99,17.50,16.53,43.90,16.80,16.97,22.42,17.89
8,63.33,56.39,44.36,120.93,55.40,39.24,82.79,123.11,45.58,42.71,40.39,34.82,94.19,55.63,37.55,30.85,46.72,47.95,30.46,50.57,56.51,33.06,31.97,105.39,30.70,20.32,58.25,19.60,30.65,16.17,35.20,83.50,44.97,62.32,16.51,18.00,101.85,82.06,36.68,16.38,84.88,33.21,16.00,30.90,27.92,25.70,24.25,27.21,52.98,43.00,39.03,74.79,37.29,31.01,97.14,18.26,53.48,24.78,33.20,32.31,21.54,19.02,93.37,45.62,23.13,43.45,17.75,28.69,65.53,17.21,88.42,53.37,37.91,32.04,23.62,17.71,34.86,20.75,46.62,22.41,89.10,53.70,24.42,76.18,43.01,16.66,26.87,55.50,94.82,42.11,98.21,94.39,39.20,28.84,24.01,22.06
16,189.97,74.29,63.99,91.82,83.07,71.64,88.22,234.99,76.27,172.29,75.08,30.35,70.96,160.72,96.15,166.46,59.00,18.60,86.31,142.43,124.01,98.78,94.68,147.35,20.23,111.22,110.86,46.69,135.96,16.81,45.30,16.76,129.59,200.39,127.90,170.32,167.35,70.70,161.67,108.81,151.29,82.45,90.13,107.70,19.00,96.61,131.66,73.82,204.29,139.00,149.69,116.98,60.68,70.72,58.65,28.88,42.13,150.11,19.73,30.84,27.15,81.15,66.66,18.99,56.19,152.06,90.02,121.54,52.58,48.51,130.77,37.17,18.17,196.56,63.43,162.24,129.72,33.61,129.99,90.67,104.28,28.28,41.62,19.74,21.36,163.40,67.83,18.10,116.70,38.56,130.84,180.74,46.10,16.65,53.19,133.64
32,183.75,202.02,202.76,64.13,240.15,140.24,79.05,250.05,240.71,259.82,62.08,95.75,133.86,162.55,217.93,206.80,157.55,237.04,124.60,126.93,56.69,107.88,102.76,77.73,113.00,220.68,171.34,132.40,195.51,29.12,84.23,213.35,132.63,189.51,70.94,92.76,123.71,93.97,54.16,198.58,168.99,49.89,229.55,179.27,131.91,217.62,247.55,174.90,267.44,234.81,238.06,58.85,58.12,93.72,108.56,129.97,116.83,108.03,262.37,209.00,112.32,75.20,261.58,147.44,77.64,62.98,266.37,175.58,264.77,170.08,265.40,127.87,120.61,256.25,98.08,200.66,136.84,137.41,125.66,259.01,54.95,166.14,123.82,93.43,111.86,115.58,168.87,220.25,126.94,209.75,120.02,78.68,79.12,66.90,105.89,184.26
64,227.26,100.03,77.47,80.11,272.62,203.67,268.96,99.79,125.67,249.28,274.86,250.00,254.10,101.60,108.71,107.22,271.90,144.77,268.87,175.93,75.89,115.06,239.76,107.59,197.41,261.23,208.09,131.40,94.41,60.63,75.10,261.40,108.81,269.26,203.24,188.15,195.69,261.03,253.34,262.32,84.54,119.12,121.08,83.07,90.43,196.11,258.49,133.37,78.92,88.21,200.03,250.66,207.88,252.69,209.60,121.31,102.74,94.02,142.77,141.05,104.73,72.68,254.65,214.35,75.45,263.14,254.68,194.55,220.05,103.78,136.58,263.54,251.27,77.00,250.31,269.27,270.97,262.36,156.35,104.90,115.28,95.24,90.00,281.72,142.37,206.17,242.54,113.92,139.10,199.88,260.10,124.64,217.05,134.03,117.27,73.14
128,155.10,85.42,97.83,177.28,263.73,202.89,103.68,98.45,256.48,219.83,228.72,208.13,257.74,231.47,273.35,234.56,256.72,105.75,111.35,208.70,255.66,226.27,111.89,84.17,215.98,245.80,96.76,251.36,166.35,76.17,92.58,168.13,143.00,260.90,144.62,254.70,200.09,224.24,114.32,194.00,157.16,247.17,112.90,264.14,138.15,172.19,91.72,150.59,228.33,210.01,114.27,200.66,264.02,184.33,97.06,96.09,236.61,206.04,88.37,114.07,248.61,248.99,156.17,244.54,243.94,107.26,179.51,112.02,207.35,108.72,115.42,92.74,154.92,112.75,201.95,137.75,133.71,203.02,217.45,115.19,214.29,209.16,85.74,102.84,91.49,93.19,200.07,198.54,216.40,214.25,153.71,119.43,93.39,191.38,211.10,205.69
256,221.71,146.23,211.08,219.07,143.34,165.32,241.00,208.56,199.98,91.83,253.40,97.59,233.22,270.14,201.21,126.67,206.16,251.15,197.66,264.04,179.20,90.69,231.82,107.61,221.77,259.67,146.76,240.49,249.15,83.80,110.48,262.93,89.30,221.32,216.70,229.53,218.31,101.34,214.23,212.10,127.96,211.65,194.17,135.30,210.75,96.74,140.94,152.81,211.86,93.03,219.24,216.37,147.49,99.54,141.50,238.13,213.32,97.38,120.34,233.71,245.08,100.33,234.07,106.55,246.88,213.53,242.33,103.59,220.86,102.04,242.61,214.23,218.30,131.76,97.73,256.69,95.41,261.42,135.87,206.66,253.86,143.91,255.21,98.42,141.99,145.52,224.01,209.41,209.58,121.38,164.28,216.56,234.78,162.32,94.24,98.15
512,217.49,242.02,218.76,240.20,210.79,190.03,215.17,173.43,199.10,94.38,205.49,108.86,261.98,178.04,216.99,219.78,216.16,241.09,265.15,181.32,221.34,94.35,215.84,99.94,186.29,297.31,318.43,289.58,116.30,87.50,123.40,287.50,244.80,228.32,99.41,211.95,217.69,174.72,217.20,221.30,179.16,222.12,178.19,217.97,116.59,106.02,120.97,234.69,234.80,220.75,220.35,215.88,231.03,119.33,178.91,212.07,104.90,126.99,131.64,106.67,259.94,219.05,257.46,213.28,215.40,151.06,209.73,172.40,198.94,96.30,203.88,132.63,262.81,218.89,282.09,217.21,199.86,202.37,242.37,209.16,170.25,95.91,106.12,126.14,260.28,208.03,279.71,218.56,175.64,220.75,253.14,179.81,143.85,134.44,115.25,101.06
