rank,cpu_id,cpu_numa,memory_numa
0,0,0,0
1,8,0,0
2,1,0,0
3,9,0,0
4,2,0,0
5,10,0,0
6,3,0,0
7,11,0,0
8,4,0,0
9,12,0,0
10,5,0,0
11,13,0,0
12,6,0,0
13,14,0,0
14,7,0,0
15,15,0,0
16,16,1,1
17,24,1,1
18,17,1,1
19,25,1,1
20,18,1,1
21,26,1,1
22,19,1,1
23,27,1,1
24,20,1,1
25,28,1,1
26,21,1,1
27,29,1,1
28,22,1,1
29,30,1,1
30,23,1,1
31,31,1,1
32,32,2,2
33,40,2,2
34,33,2,2
35,41,2,2
36,34,2,2
37,42,2,2
38,35,2,2
39,43,2,2
40,36,2,2
41,44,2,2
42,37,2,2
43,45,2,2
44,38,2,2
45,46,2,2
46,39,2,2
47,47,2,2
48,48,3,3
49,56,3,3
50,49,3,3
51,57,3,3
52,50,3,3
53,58,3,3
54,51,3,3
55,59,3,3
56,52,3,3
57,60,3,3
58,53,3,3
59,61,3,3
60,54,3,3
61,62,3,3
62,55,3,3
63,63,3,3
64,64,4,4
65,72,4,4
66,65,4,4
67,73,4,4
68,66,4,4
69,74,4,4
70,67,4,4
71,75,4,4
72,68,4,4
73,76,4,4
74,69,4,4
75,77,4,4
76,70,4,4
77,78,4,4
78,71,4,4
79,79,4,4
80,80,5,5
81,88,5,5
82,81,5,5
83,89,5,5
84,82,5,5
85,90,5,5
86,83,5,5
87,91,5,5
88,84,5,5
89,92,5,5
90,85,5,5
91,93,5,5
92,86,5,5
93,94,5,5
94,87,5,5
95,95,5,5
96,96,6,6
97,104,6,6
98,97,6,6
99,105,6,6
100,98,6,6
101,106,6,6
102,99,6,6
103,107,6,6
104,100,6,6
105,108,6,6
106,101,6,6
107,109,6,6
108,102,6,6
109,110,6,6
110,103,6,6
111,111,6,6
112,112,7,7
113,120,7,7
114,113,7,7
115,121,7,7
116,114,7,7
117,122,7,7
118,115,7,7
119,123,7,7
120,116,7,7
121,124,7,7
122,117,7,7
123,125,7,7
124,118,7,7
125,126,7,7
126,119,7,7
127,127,7,7
