size (MB),0,1,2,3,4,5,6,7,8,9,10,11
1,11.86,11.80,12.45,11.79,11.83,11.79,11.84,11.85,11.76,11.83,11.79,11.98
2,14.80,14.71,15.26,14.81,14.70,14.74,14.75,14.70,14.71,14.77,14.74,15.67
4,16.25,16.16,16.19,16.46,16.18,16.20,16.23,16.21,16.30,16.22,16.18,19.39
8,17.87,16.96,17.37,17.65,16.99,17.10,17.53,16.95,17.27,23.13,17.02,16.97
16,33.95,21.42,37.26,34.49,21.43,36.72,35.69,21.11,35.50,46.35,21.29,21.29
32,43.50,38.99,101.18,61.58,38.37,76.73,61.65,37.78,75.17,58.91,38.92,77.44
64,109.77,70.91,74.35,75.38,71.24,107.67,71.11,71.49,129.64,87.96,71.71,87.71
128,123.73,89.81,93.05,109.36,89.79,94.45,137.08,99.12,90.14,99.40,89.94,103.51
256,110.20,155.60,102.71,129.70,156.24,101.19,141.35,150.13,99.76,139.94,155.96,99.39
512,107.50,181.66,108.96,143.29,183.20,107.77,143.82,178.09,109.73,130.15,178.52,107.03
1024,147.54,198.79,110.92,145.71,206.83,111.07,152.31,206.73,111.06,153.72,206.80,110.49
