size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,11.76,11.81,12.41,12.25,12.08,11.80,11.83,11.93,11.78,11.91,11.79,11.77,11.83,11.82,11.86,11.79
2,14.74,14.74,14.75,15.78,14.73,14.76,14.73,16.09,14.73,15.62,14.80,14.61,14.72,16.14,15.99,14.54
4,16.22,16.35,16.21,18.13,16.50,16.21,16.17,16.38,16.31,16.22,16.19,16.36,19.25,16.22,16.18,18.15
8,17.36,17.27,17.28,19.61,17.60,17.97,17.13,17.27,17.36,17.26,17.28,17.39,21.36,17.10,16.96,19.96
16,33.78,22.84,37.12,50.97,36.13,37.52,35.46,33.98,36.98,36.54,35.62,35.32,45.51,33.58,24.90,38.41
32,135.68,101.11,42.40,43.11,45.70,65.83,119.79,38.08,47.10,87.57,109.17,60.09,92.76,41.29,46.11,141.16
64,78.11,107.82,103.23,95.18,106.37,85.39,83.04,107.77,71.22,76.94,133.06,138.19,128.70,90.56,74.51,107.53
128,173.58,108.12,90.61,107.88,106.75,148.40,117.30,91.75,101.37,118.47,106.88,94.37,163.14,128.15,89.82,101.40
256,163.05,107.06,108.97,127.78,167.91,132.33,113.47,102.65,162.29,141.34,102.94,105.28,186.35,155.41,99.13,128.63
512,164.96,205.90,121.92,114.68,224.66,190.02,139.44,111.30,161.12,217.20,117.35,114.91,219.56,176.68,122.13,110.95
1024,265.90,224.58,126.22,120.25,255.64,226.02,160.92,116.24,225.03,236.43,137.93,119.12,258.78,227.64,127.21,117.73
