size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,11.79,11.81,12.14,11.78,12.09,11.84,11.84,11.78,11.87,11.78,11.84,11.83,11.81,11.89,13.16,12.09,11.85,12.09,11.77,11.82
2,14.74,14.75,16.55,14.73,16.55,15.14,14.75,14.88,16.25,14.80,14.76,15.63,14.72,14.71,19.03,16.64,14.82,16.49,14.77,14.71
4,17.20,16.26,16.40,16.19,16.24,17.20,16.25,16.66,16.34,16.29,17.62,19.83,16.58,16.15,16.23,16.26,16.23,16.27,17.14,19.50
8,20.96,18.12,21.06,17.05,21.44,22.30,17.98,20.08,17.35,20.21,20.20,18.48,20.43,17.15,21.16,19.04,17.71,18.92,17.16,28.81
16,45.97,47.24,38.55,47.43,82.26,69.34,49.62,51.01,49.56,44.48,57.97,52.00,58.89,39.52,46.64,55.37,51.59,70.91,46.08,38.72
32,96.00,104.89,78.81,41.66,71.30,108.86,118.44,61.65,94.09,38.41,109.44,122.04,74.35,72.95,38.44,56.38,60.73,82.23,112.59,59.01
64,133.19,156.34,110.89,118.81,79.99,103.71,112.64,159.24,123.16,79.13,88.85,137.39,140.54,101.73,90.34,139.04,164.76,124.89,111.83,70.87
128,139.37,182.02,141.35,158.67,88.76,138.86,185.80,88.54,164.84,143.02,94.66,148.83,128.39,181.42,139.60,88.43,184.64,130.06,162.36,162.62
256,169.68,204.13,141.14,196.11,99.19,167.88,201.05,140.09,171.80,98.67,168.88,202.96,139.82,189.17,100.25,167.04,202.20,106.10,171.76,103.66
512,155.89,239.48,113.06,220.22,130.95,128.67,240.73,130.25,220.94,110.38,133.85,238.65,149.14,218.44,110.71,138.62,239.58,110.13,213.78,117.01
1024,198.48,277.26,122.85,246.95,114.34,235.08,281.61,150.09,237.74,113.49,227.67,274.39,143.28,248.24,114.75,199.66,272.42,115.52,241.83,118.55
