size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,11.80,11.82,12.13,11.91,12.18,13.25,11.81,12.06,11.86,11.81,11.91,12.17,12.23,12.05,11.83,11.72,11.80,12.26,11.84,12.01,11.88,11.80,11.87,11.84
2,14.73,15.92,16.51,14.74,14.97,18.86,14.93,16.24,18.83,14.69,14.73,17.35,16.33,15.67,15.29,14.64,14.69,15.76,14.73,18.65,14.80,14.89,15.93,14.71
4,22.95,19.79,19.44,16.20,16.24,18.31,16.56,20.46,17.26,16.13,16.20,20.14,16.56,26.39,16.85,16.18,16.20,16.73,18.19,20.08,16.18,16.56,18.53,16.15
8,17.75,18.91,23.61,19.41,23.05,29.37,20.88,26.72,21.41,16.98,20.65,26.02,21.04,22.70,22.92,17.11,20.28,29.42,22.54,20.06,20.67,20.08,20.91,20.98
16,67.05,32.11,56.40,56.62,42.38,106.14,55.73,58.23,63.22,23.09,49.28,121.01,46.62,67.88,99.68,24.70,35.22,82.42,111.28,57.94,52.41,61.81,33.05,47.46
32,38.18,78.33,111.43,98.08,132.93,108.21,150.19,118.82,44.44,38.16,120.87,106.49,130.80,68.39,104.87,37.77,65.05,179.76,71.57,182.41,110.17,69.48,106.77,38.46
64,89.27,120.98,93.96,116.51,156.65,114.99,154.64,145.28,88.42,76.12,130.98,139.03,176.80,127.23,135.40,80.00,88.66,128.32,107.93,145.57,126.95,137.31,97.91,77.56
128,142.01,192.96,125.08,147.76,130.64,90.23,167.17,168.33,118.08,97.36,129.80,112.08,173.96,168.72,121.40,96.79,104.91,125.84,138.45,149.74,155.13,195.89,121.87,89.59
256,106.87,162.35,161.61,169.19,127.11,112.64,195.31,224.37,173.49,99.94,155.82,144.62,179.39,222.23,152.11,99.61,131.91,182.33,179.31,226.96,135.39,102.01,135.77,144.83
512,151.09,247.24,119.92,178.15,142.34,125.65,256.79,238.74,183.62,115.09,186.07,146.19,255.74,239.76,163.50,117.68,146.66,224.21,245.31,204.55,172.83,116.97,171.74,120.39
1024,168.04,307.14,294.69,135.05,127.10,139.16,296.62,293.24,205.32,118.89,257.83,171.65,285.90,312.91,175.21,116.67,210.51,260.26,304.74,286.56,185.71,121.35,230.14,162.39
