size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,11.90,12.34,12.57,11.81,12.69,12.30,12.53,11.99,11.88,11.94,11.85,11.90,11.80,12.09,11.93,11.82,11.85,12.05,12.01,11.83,11.90,12.43,11.98,11.87,11.80,12.52,12.11,12.63
2,15.13,14.98,15.62,14.94,14.90,14.73,14.81,15.20,14.95,14.81,14.73,15.35,14.77,14.78,15.73,14.89,15.07,14.78,14.81,14.75,14.78,16.77,14.77,14.77,14.75,16.69,15.90,17.40
4,17.81,17.60,17.69,16.38,16.84,16.22,16.56,17.91,16.38,16.59,16.54,16.98,16.23,16.67,17.27,17.65,17.12,16.39,16.88,16.29,16.56,19.14,16.26,16.55,16.35,17.25,16.57,17.02
8,33.82,22.13,31.42,21.75,30.14,24.89,27.85,31.54,23.44,27.70,23.54,34.55,22.68,27.05,32.53,21.38,26.20,21.55,35.19,24.21,28.68,29.34,23.64,30.98,24.25,31.97,22.10,29.58
16,114.41,69.22,59.24,62.02,57.93,147.86,63.69,77.90,48.56,55.35,156.76,48.90,72.13,114.44,68.69,118.11,58.26,104.35,55.39,82.42,102.94,92.60,75.23,70.29,132.25,55.26,91.85,60.64
32,105.91,163.57,75.51,52.28,111.14,95.54,84.44,144.00,100.57,54.10,171.05,94.26,178.66,130.01,113.42,173.42,45.33,84.27,114.64,154.16,140.32,106.16,147.55,81.63,124.85,95.11,101.95,66.28
64,135.79,187.67,138.24,169.42,150.22,148.92,72.78,77.02,200.80,119.17,131.81,129.60,206.69,176.41,132.22,181.14,138.06,193.98,146.10,156.03,74.98,170.84,183.73,107.21,180.29,76.78,131.84,164.81
128,169.83,187.84,175.88,146.34,116.84,202.14,92.46,179.75,196.85,150.34,207.36,122.62,169.16,93.88,113.70,214.58,174.47,213.94,94.73,167.40,169.84,162.76,201.20,138.46,194.45,118.87,179.48,96.71
256,186.28,233.72,144.18,209.30,138.21,216.14,102.43,185.08,235.31,104.25,220.03,123.57,217.42,133.89,175.14,236.96,146.85,245.93,147.42,209.03,101.05,185.34,247.89,167.30,192.13,137.10,252.70,100.83
512,252.95,273.45,129.91,242.92,121.24,265.71,116.22,231.14,275.56,129.06,253.36,166.58,254.58,116.70,161.91,278.86,132.91,255.90,165.40,261.17,115.88,203.68,276.59,139.49,265.44,183.03,237.84,118.13
1024,281.34,307.21,163.10,275.22,234.35,305.82,118.83,278.11,317.57,126.59,286.53,242.51,293.18,121.64,270.86,319.72,195.99,287.38,168.53,297.84,121.79,282.20,312.90,169.50,287.45,174.74,296.75,120.68
