size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,11.89,11.93,12.20,11.93,12.22,11.83,12.20,12.28,12.69,12.68,12.41,11.81,11.82,12.54,12.42,14.49,11.89,12.05,12.14,11.83,11.85,12.05,12.47,11.81,13.63,13.57,11.88,11.85,13.26,13.26,11.81,11.80
2,14.70,15.39,16.25,14.97,16.30,15.02,16.28,14.72,15.31,15.13,15.14,14.79,14.74,14.87,15.02,15.75,15.15,15.48,15.24,14.84,14.90,14.94,14.77,14.75,14.89,16.95,14.83,16.11,16.38,17.14,14.76,14.57
4,17.91,16.83,16.80,16.53,16.50,16.86,16.40,16.41,17.38,17.89,18.09,16.55,16.37,16.53,16.35,16.50,18.15,18.83,16.55,16.55,16.56,16.94,16.48,16.36,17.43,16.66,16.78,16.44,16.52,16.25,16.31,35.36
8,40.86,29.62,33.95,29.00,24.89,31.89,28.40,32.32,29.03,32.56,33.41,42.20,28.91,24.61,31.96,25.89,29.95,36.87,40.93,21.83,25.39,35.33,25.79,31.21,27.36,20.16,32.79,21.34,34.53,21.27,25.82,21.65
16,160.62,93.62,57.99,81.51,129.84,49.78,48.36,48.28,63.51,40.49,39.19,84.79,68.98,133.55,40.61,63.80,72.60,75.64,72.23,41.07,67.42,114.71,78.07,79.08,60.27,183.81,54.41,73.32,89.92,62.78,78.37,76.06
32,43.25,89.35,110.14,145.75,181.19,170.36,205.33,69.06,196.35,118.64,55.76,86.05,213.78,145.13,89.65,92.25,78.90,46.48,103.42,136.19,161.40,148.23,83.61,201.39,181.74,152.28,209.80,102.21,43.74,95.04,115.15,71.77
64,118.62,138.93,76.22,133.96,214.63,163.97,187.72,138.01,134.52,135.95,174.32,108.62,106.64,135.04,97.63,93.96,211.27,144.42,121.55,99.51,89.59,134.90,98.92,106.85,211.54,204.38,132.78,132.45,112.16,190.78,76.55,135.40
128,157.73,177.93,134.40,158.57,122.37,131.73,114.68,104.09,225.17,161.98,117.32,139.09,189.98,181.48,95.81,156.03,219.29,198.59,131.37,109.82,225.46,132.68,99.46,102.08,138.14,122.94,154.53,113.76,160.08,110.34,112.96,116.37
256,191.94,155.51,135.35,233.34,193.76,151.90,148.38,105.39,223.89,184.59,139.40,134.42,195.75,177.03,195.94,107.52,254.43,254.12,224.56,209.10,172.00,165.42,102.26,105.31,251.11,253.34,258.91,164.36,198.16,105.72,114.35,150.57
512,271.37,287.62,166.72,270.61,238.66,173.83,131.58,126.52,297.64,260.84,226.64,157.98,262.97,176.22,181.85,119.17,275.40,288.53,131.05,251.19,180.37,270.84,125.34,154.67,278.72,291.97,290.79,280.92,188.45,126.22,125.70,142.86
1024,322.64,324.99,326.71,248.00,236.40,176.89,173.82,127.04,328.01,331.53,298.17,236.61,297.71,180.95,202.94,122.13,352.47,322.78,214.41,220.04,324.15,319.73,154.18,125.19,352.41,321.87,350.51,244.53,274.81,128.23,149.53,128.38
