size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,11.81,12.12,12.64,12.10,12.37,12.10,12.38,12.10,12.94,12.10,12.22,12.59,12.13,12.26,12.09,12.32,12.06,12.22,12.21,12.17,11.97,11.87,11.88,12.50,11.85,11.95,12.79,11.89,12.00,13.62,12.08,12.14,11.90,11.86,11.84,12.52
2,14.71,15.60,17.56,14.77,17.39,15.18,16.83,14.77,16.82,15.42,15.53,15.21,15.52,15.49,14.87,14.89,14.75,14.84,15.93,16.71,15.72,14.86,15.00,14.80,14.80,15.40,15.19,15.57,14.81,15.82,15.15,15.04,14.77,15.29,14.76,14.84
4,17.40,17.68,19.04,16.55,17.98,17.59,18.17,16.42,17.32,19.53,17.18,17.56,16.79,20.04,17.90,16.89,16.30,17.05,19.23,17.58,18.31,16.38,17.86,17.81,17.38,16.42,17.13,17.29,18.81,18.38,16.61,17.60,16.44,16.86,16.30,17.28
8,50.77,50.32,42.27,48.50,42.47,44.81,35.05,55.40,41.06,45.18,49.77,42.64,59.92,47.23,37.88,39.85,37.32,31.78,47.41,59.59,50.27,44.06,32.37,54.53,38.35,30.69,38.60,36.50,63.70,35.58,45.04,36.96,39.32,54.97,39.21,44.64
16,82.21,137.47,90.00,104.47,85.15,83.80,68.12,79.16,66.61,100.35,166.51,88.11,91.19,80.14,59.02,71.77,186.49,57.09,95.47,66.67,83.49,190.93,87.27,146.42,71.04,117.44,56.71,123.36,99.26,94.83,93.57,38.97,121.18,65.46,154.74,84.27
32,113.83,201.42,168.80,166.59,207.99,142.71,71.19,157.76,78.19,138.60,201.86,80.91,156.81,120.16,190.22,95.14,154.36,95.96,130.03,202.76,89.59,210.40,130.99,177.08,64.61,112.41,235.85,175.17,144.76,45.09,52.20,139.63,183.75,179.24,181.01,100.12
64,165.73,196.16,200.25,189.17,106.42,197.83,82.12,202.64,124.65,105.28,183.76,145.79,219.40,132.73,197.55,191.99,201.74,86.63,115.76,215.68,162.30,195.04,164.63,204.68,138.38,165.26,80.70,115.26,212.28,83.09,212.28,117.78,191.30,195.65,177.36,121.68
128,131.16,233.96,189.65,157.32,159.29,218.77,128.93,225.42,95.87,186.09,236.04,174.91,236.32,153.80,229.35,108.76,201.25,98.22,111.18,241.52,195.90,185.40,97.68,235.63,167.58,157.01,131.94,202.44,207.65,135.38,219.20,109.52,234.31,180.72,205.51,101.88
256,174.67,259.81,160.62,255.14,107.67,245.51,116.14,192.23,157.75,185.88,259.55,102.88,255.37,216.84,263.59,167.39,196.72,112.55,223.01,260.33,131.12,228.07,188.93,245.11,167.31,206.52,102.93,158.55,260.22,120.50,243.22,107.09,250.56,145.10,185.04,146.58
512,215.62,295.15,164.76,297.56,180.00,314.42,125.48,272.61,118.17,272.42,290.50,184.29,287.77,259.13,306.36,152.97,241.13,119.56,262.97,289.22,256.61,286.26,153.19,306.75,128.01,245.22,120.99,165.11,290.43,119.31,282.61,205.04,304.38,134.32,280.89,123.42
1024,284.90,324.07,253.16,362.73,339.09,363.84,147.87,294.91,122.23,335.93,395.34,212.33,323.46,226.28,403.21,167.71,283.90,122.36,322.78,325.97,299.43,298.93,261.22,332.86,179.64,271.59,125.04,321.56,339.34,122.81,293.42,275.24,325.80,218.64,291.86,134.11
