size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,11.99,12.84,12.93,13.13,12.44,12.59,13.05,12.73,12.66,11.83,12.13,12.31,11.93,12.24,12.45,12.10,11.93,12.43,11.84,12.14,12.68,11.85,12.44,11.84,12.36,11.84,12.21,12.31,12.21,14.35,12.32,11.89,13.17,11.84,11.84,13.83,12.13,13.78,12.04,14.45
2,14.91,17.52,15.54,17.33,16.71,17.70,15.30,16.63,15.25,14.80,14.91,16.36,14.88,15.42,15.59,14.93,15.17,15.32,14.85,14.80,15.27,15.42,15.54,14.84,15.09,15.27,14.82,15.03,14.90,14.78,15.99,14.79,14.83,16.04,14.79,17.89,15.77,16.61,15.20,17.06
4,18.21,20.84,19.86,22.16,17.57,21.41,17.34,20.25,16.80,16.33,18.44,18.24,18.59,18.64,17.36,17.20,18.68,17.35,16.73,17.64,17.81,18.21,19.43,17.62,17.48,18.62,18.33,17.59,16.95,16.82,17.67,16.45,20.30,20.85,18.06,22.03,17.23,19.46,16.79,19.94
8,59.98,68.62,37.83,63.09,46.97,48.98,32.30,42.88,34.66,17.57,48.60,72.95,36.71,50.05,38.55,80.33,45.64,17.48,38.56,46.60,41.73,47.47,42.98,35.89,51.39,68.30,43.37,36.10,34.83,34.15,47.70,17.46,35.09,80.51,44.47,53.04,37.16,39.32,45.76,65.43
16,98.54,52.88,91.82,118.85,207.01,87.77,79.01,114.52,79.82,48.01,42.02,76.48,127.23,85.36,46.56,59.07,166.36,84.57,211.90,89.73,207.81,74.27,120.89,46.35,21.63,95.09,104.32,74.11,167.93,212.34,74.25,22.25,100.11,82.99,72.20,28.24,75.26,80.41,128.90,138.58
32,184.18,117.46,61.47,162.55,116.72,108.89,205.88,124.74,168.39,75.16,215.23,130.16,129.67,121.86,160.65,64.74,156.50,101.85,115.63,104.91,117.33,222.62,114.40,65.88,124.39,139.28,76.21,206.94,106.55,105.53,176.55,95.40,107.85,97.33,191.52,169.36,158.41,89.00,69.75,117.73
64,190.78,151.63,235.15,106.68,165.30,243.76,251.71,120.43,75.25,104.32,111.96,135.08,128.83,104.17,239.09,163.58,144.08,124.88,107.57,101.30,110.56,152.54,133.85,125.03,204.23,201.61,102.12,105.45,122.92,108.48,133.67,98.99,132.73,124.98,192.30,127.84,116.58,116.65,123.04,120.45
128,244.23,258.62,200.35,226.86,149.40,171.84,119.81,118.45,261.47,95.47,254.90,199.25,143.25,114.87,116.03,117.61,147.69,124.30,138.09,116.65,249.08,259.75,207.35,108.33,106.84,248.88,260.54,111.61,102.64,143.69,267.17,121.09,256.64,117.16,134.92,125.86,139.66,141.10,155.59,116.03
256,292.78,280.00,182.44,290.21,171.04,131.37,217.75,109.81,278.44,114.01,285.65,277.11,307.07,111.56,293.33,272.19,185.85,106.13,170.88,168.11,266.41,308.95,125.32,106.74,108.84,311.07,235.77,259.82,242.66,131.59,268.76,114.16,278.76,191.90,254.46,263.95,274.14,124.67,205.24,106.91
512,295.51,342.41,346.09,341.16,339.36,187.23,171.59,176.12,188.36,117.65,295.79,295.73,238.65,118.08,297.84,298.58,298.80,193.06,163.71,182.90,299.14,303.19,214.93,143.03,214.47,290.03,151.58,141.39,126.35,171.24,330.03,125.67,292.49,233.62,270.06,305.23,207.83,201.89,323.96,132.24
1024,331.66,331.70,251.08,342.91,347.69,295.23,238.74,175.10,330.27,123.83,333.42,311.19,337.06,168.34,406.91,276.21,410.94,126.08,265.65,211.31,324.62,332.61,377.97,143.95,381.98,325.80,209.88,154.98,285.12,129.05,339.64,138.67,346.71,340.47,394.14,327.44,267.79,129.62,390.25,134.61
