size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,11.92,12.87,11.95,14.09,11.88,11.78,11.89,13.89,12.54,11.81,11.89,11.86,12.02,12.37,14.65,12.63,11.83,12.28,12.03,12.90,14.84,14.71,12.02,11.83,11.94,12.14,11.92,12.23,14.00,11.80,11.96,11.93,13.98,12.31,12.02,12.16,12.34,12.27,12.24,11.84,11.81,12.76,11.81,12.07
2,14.77,17.02,15.81,17.39,23.47,17.00,22.22,17.08,20.14,14.77,23.44,14.84,19.57,17.75,19.24,17.56,14.90,15.78,14.79,15.90,19.34,16.20,14.95,17.88,15.91,16.84,14.88,16.72,14.95,17.04,15.02,14.88,20.80,16.94,15.09,15.54,15.06,16.31,16.03,14.82,14.79,14.91,14.97,14.81
4,20.58,18.84,17.33,18.06,20.60,17.66,19.67,23.10,18.93,17.03,20.34,24.55,23.66,19.08,20.44,20.57,20.43,18.01,16.31,18.76,20.01,19.08,22.98,21.78,19.23,17.76,18.24,18.18,19.49,17.17,19.45,17.31,21.68,21.59,18.81,20.87,17.42,19.50,16.85,18.80,17.12,18.10,18.98,18.48
8,56.42,75.72,54.71,58.46,54.90,62.26,60.64,66.43,50.85,97.60,37.37,55.27,97.43,68.40,78.67,45.30,99.99,47.49,17.05,51.07,92.60,44.95,43.88,65.04,47.01,78.79,51.25,80.20,45.20,43.29,62.75,86.76,68.28,69.72,40.46,50.06,90.09,60.64,70.98,37.51,57.34,46.52,90.55,49.64
16,89.98,80.26,39.07,48.68,88.56,158.57,79.84,91.90,53.06,28.96,84.93,146.30,160.99,115.72,203.03,26.13,22.54,102.59,76.00,48.77,155.36,157.07,51.82,177.39,78.65,84.49,111.60,207.77,69.65,142.27,105.12,127.79,111.74,94.92,52.30,57.71,132.68,23.48,34.58,167.15,38.43,135.51,83.87,38.20
32,132.62,230.52,174.02,208.47,162.34,183.72,72.00,161.06,119.11,169.92,96.11,138.88,188.67,166.53,211.49,162.22,232.04,83.16,131.29,156.66,157.49,75.20,104.77,211.17,89.53,171.02,113.60,166.61,101.65,163.18,94.58,184.80,119.52,141.63,221.11,184.30,173.32,70.67,151.17,90.46,218.91,105.56,184.09,263.73
64,152.83,225.39,118.13,237.10,211.40,197.23,98.80,223.13,106.18,213.13,162.51,269.67,240.72,205.66,223.66,86.99,214.71,108.23,120.49,123.82,213.14,128.28,162.01,188.72,144.47,203.68,126.08,229.07,131.06,225.96,87.65,243.01,121.32,224.78,239.54,98.28,234.28,151.67,195.57,147.12,123.87,201.55,245.99,90.95
128,203.24,263.55,117.47,255.89,210.36,240.95,100.65,200.60,194.94,256.04,106.30,230.60,215.86,107.68,252.82,208.90,240.36,107.21,174.79,101.11,201.52,170.33,194.85,218.07,125.34,258.38,211.65,265.65,98.81,198.90,211.74,262.28,110.47,212.62,250.60,119.65,269.19,97.65,271.36,135.30,243.82,137.42,169.32,228.66
256,139.65,290.03,227.78,265.99,291.02,262.18,122.04,198.74,180.81,292.78,106.57,193.45,264.91,164.16,247.87,238.52,269.38,163.17,221.55,126.85,231.64,104.57,141.70,218.08,156.58,271.83,201.42,261.79,106.92,252.45,245.93,243.41,133.36,274.70,235.97,119.51,269.44,124.30,249.53,103.66,265.48,210.04,203.00,209.91
512,245.09,305.45,243.66,305.22,303.65,301.95,159.82,338.15,136.18,335.39,119.21,285.31,351.97,162.10,374.41,163.24,365.79,236.61,235.69,161.11,302.59,124.11,225.90,313.24,230.54,332.95,295.46,306.90,123.33,279.03,232.10,346.25,132.31,330.67,329.03,136.69,299.60,224.97,327.26,124.59,304.68,285.24,286.32,121.79
1024,392.52,336.55,253.89,328.71,314.25,339.79,287.96,342.28,160.56,327.24,125.54,281.67,419.99,179.05,390.94,254.48,410.46,256.26,255.74,197.13,304.07,127.39,307.45,378.34,301.68,404.40,385.47,391.98,138.65,290.13,152.06,376.84,128.23,376.83,331.91,245.21,345.86,229.64,356.99,125.48,294.88,263.73,318.72,126.24
