size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,11.99,11.86,14.32,14.16,12.33,12.38,13.89,13.89,12.33,13.26,13.48,13.52,15.92,14.56,12.16,14.74,12.35,13.69,13.02,11.84,12.30,12.33,11.83,12.32,13.58,12.29,12.66,12.48,12.50,12.37,12.78,12.21,12.25,12.46,12.22,12.25,13.00,11.86,12.00,12.41,14.76,12.77,11.91,12.09,12.09,12.00,11.88,12.00
2,15.06,15.17,15.56,16.65,16.35,17.23,14.87,16.44,14.86,16.67,14.83,16.08,18.31,16.90,14.85,15.78,15.20,16.94,15.56,14.79,15.21,15.81,14.89,15.84,16.33,15.64,16.52,14.81,15.05,17.00,14.89,15.08,14.82,15.04,14.86,14.84,16.83,14.88,15.57,18.40,15.68,15.60,15.24,15.01,14.89,14.96,14.87,14.81
4,24.85,16.89,18.74,18.65,30.76,25.07,16.64,19.10,21.07,23.55,17.63,18.44,18.47,27.91,19.93,18.44,25.18,18.34,17.38,16.64,30.34,20.27,17.13,25.94,22.72,23.55,21.43,18.46,17.40,18.60,23.66,20.02,17.95,17.90,17.59,19.51,26.11,21.96,19.41,18.29,25.88,18.74,17.86,19.55,18.52,22.56,17.60,17.91
8,91.13,37.48,59.89,59.98,47.99,63.32,47.89,55.86,65.97,54.52,34.27,55.43,59.62,47.97,41.24,75.59,88.56,60.96,81.16,30.38,41.83,58.14,35.67,52.83,58.38,63.65,59.96,43.71,46.55,63.67,49.45,78.92,48.76,53.63,64.94,43.55,75.43,53.84,63.32,39.48,41.54,57.57,69.05,80.03,46.73,52.77,33.08,44.61
16,138.16,69.77,103.56,113.67,74.22,129.06,92.49,101.25,102.64,82.75,80.33,114.29,117.30,158.58,77.05,133.18,74.61,88.22,118.70,211.89,93.36,199.10,79.72,28.37,149.06,22.18,94.91,149.28,26.74,228.56,86.94,100.08,115.87,198.48,102.81,117.59,22.07,117.30,240.90,66.51,162.74,89.65,105.78,28.99,141.90,81.84,143.01,174.58
32,116.02,72.42,119.27,243.44,134.60,168.93,109.79,220.01,88.65,116.59,247.64,95.81,183.50,266.92,186.35,120.61,172.42,108.16,60.24,61.87,127.37,273.02,164.67,168.57,243.52,250.37,89.79,205.80,219.48,142.42,229.22,77.07,68.72,74.61,260.60,196.44,150.03,115.34,126.15,112.56,93.06,108.48,128.71,94.13,128.87,153.57,162.41,101.68
64,274.45,92.33,205.56,251.13,91.64,266.49,139.32,107.45,269.70,124.81,169.77,246.65,144.03,103.20,198.82,270.64,236.33,266.36,176.50,150.52,135.19,87.61,139.77,166.85,251.50,149.61,248.87,119.54,222.48,261.30,243.75,94.70,93.50,235.15,91.56,157.58,183.32,274.04,229.09,111.45,227.62,276.15,247.33,277.46,231.55,100.65,76.03,104.12
128,276.40,210.14,131.62,159.52,182.51,287.37,138.33,284.20,262.51,288.62,110.69,96.54,268.83,270.29,263.17,193.68,228.32,201.25,136.37,108.81,109.24,230.16,270.64,100.19,105.38,297.11,281.85,95.84,110.94,225.87,142.02,297.33,277.24,229.69,209.80,135.67,263.95,140.97,230.86,242.50,126.80,261.88,261.52,213.43,105.58,266.36,183.87,94.83
256,259.77,140.25,213.90,266.20,261.93,115.22,234.10,107.73,260.29,267.46,122.79,251.76,317.98,152.75,323.67,179.08,282.36,309.55,291.09,147.25,203.75,309.47,123.74,109.31,281.53,272.81,253.59,161.79,265.64,260.80,117.85,270.98,114.05,142.71,141.84,121.05,262.73,267.74,197.97,142.68,160.54,125.72,277.76,263.04,111.49,268.08,224.85,119.00
512,288.28,120.65,317.78,299.53,330.09,244.06,272.75,227.30,281.35,133.62,266.12,138.44,297.89,216.98,334.23,274.57,336.02,297.37,310.80,147.28,279.20,185.21,202.09,123.83,170.69,364.93,353.04,223.99,295.42,391.74,361.21,393.16,253.83,291.63,124.97,152.39,296.52,289.55,302.54,327.71,289.81,327.78,266.32,128.56,155.22,225.44,240.99,133.47
1024,326.49,219.69,368.71,314.63,387.23,200.66,295.13,122.38,370.11,297.49,248.49,196.62,316.20,359.86,341.61,330.27,336.02,355.48,341.96,195.09,185.40,289.92,356.38,126.96,403.45,402.26,402.29,343.20,333.02,439.85,407.82,394.18,184.53,297.87,200.99,128.11,314.77,318.31,411.63,430.18,414.60,434.32,353.23,220.21,254.50,212.61,176.68,127.76
