size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,12.88,13.09,13.21,12.72,13.18,13.26,12.65,12.69,12.67,12.62,12.65,12.63,19.34,12.71,14.67,12.88,12.98,14.29,13.00,12.81,13.00,12.94,13.02,14.93,13.05,12.77,15.31,14.04,13.26,13.12,13.20,13.10,13.03,12.95,13.01,12.95,12.91,12.97,12.92,13.62,13.39,13.86,13.00,13.19,13.23,12.57,12.94,13.41,13.85,13.16,12.98,12.97
2,15.54,15.29,15.27,16.51,16.52,16.90,15.83,14.81,15.05,15.07,14.89,15.20,18.31,16.96,21.33,15.24,17.83,17.09,15.73,16.61,15.25,14.98,15.01,15.45,14.82,14.88,16.01,15.22,15.57,15.65,16.10,15.45,16.84,15.07,14.86,16.88,15.14,14.81,14.91,16.29,16.71,16.88,15.98,15.03,15.57,15.34,15.50,14.86,14.82,15.78,14.96,15.08
4,29.70,19.88,27.42,21.06,24.45,23.27,23.39,28.90,22.18,18.01,23.83,17.78,27.37,22.25,19.65,20.88,26.01,30.33,19.22,18.97,17.44,26.84,27.25,24.08,17.70,20.56,25.61,19.40,25.90,17.30,22.80,17.89,21.76,17.90,26.33,35.44,21.08,17.66,18.73,25.86,21.06,29.65,18.06,22.59,25.90,20.98,20.22,21.64,17.60,21.20,20.79,20.29
8,69.14,85.29,63.68,67.12,57.14,97.19,71.82,83.14,52.18,72.08,48.06,81.91,78.89,58.74,137.22,78.45,75.61,71.38,71.65,57.63,101.67,52.76,73.03,61.15,72.10,45.55,80.01,70.41,63.41,110.55,74.72,78.10,61.16,123.14,37.80,48.85,71.45,60.55,42.17,66.58,113.87,62.82,74.90,63.40,111.02,71.84,77.10,55.46,67.27,61.13,56.27,51.53
16,175.23,59.72,41.51,221.74,104.61,250.54,230.17,79.61,93.97,224.81,67.79,197.60,156.60,121.85,169.56,106.50,110.45,89.27,178.95,72.86,131.22,86.26,138.31,166.24,206.15,88.07,178.09,128.23,119.28,84.99,21.33,52.61,83.79,21.34,219.72,122.74,59.25,158.05,127.26,99.98,58.18,44.84,171.49,170.54,22.39,87.90,215.83,89.12,198.55,53.78,154.53,76.44
32,271.98,243.62,252.88,72.65,96.02,153.79,92.30,237.87,250.70,240.11,82.82,253.15,97.82,130.63,131.51,163.44,257.18,132.23,260.29,138.22,247.46,86.10,246.18,106.64,137.47,93.53,115.62,115.61,115.93,258.21,252.99,153.62,87.02,237.48,111.25,255.46,275.18,259.62,83.51,276.46,137.81,211.90,233.35,82.03,142.51,92.22,138.97,82.99,211.07,133.66,238.93,283.57
64,88.31,173.02,205.65,249.22,208.65,257.72,219.71,232.19,97.09,206.53,108.13,164.25,196.79,232.45,252.18,111.83,256.06,107.13,214.96,213.22,127.17,225.31,193.12,85.65,255.34,186.40,296.29,159.60,231.08,268.66,103.67,264.94,149.59,270.44,203.64,169.78,119.83,213.36,91.68,186.30,246.92,194.89,233.82,107.45,243.40,135.96,168.04,201.08,235.07,89.45,174.53,151.06
128,108.02,258.35,104.74,303.86,280.98,299.18,147.00,306.25,154.58,202.92,249.23,188.65,157.18,278.27,294.83,233.51,216.43,133.13,293.88,98.37,181.04,195.75,304.65,134.99,195.09,140.15,247.50,285.41,265.54,206.06,107.78,222.14,126.78,279.69,149.61,228.10,223.71,223.84,105.53,200.72,247.46,100.81,255.68,313.55,263.94,140.97,163.96,153.84,260.99,194.30,200.77,117.07
256,299.94,268.04,137.49,280.87,181.95,271.44,145.34,291.08,276.28,289.23,113.45,226.75,124.98,138.12,273.42,267.82,253.04,139.38,268.51,136.47,241.34,115.21,293.80,123.46,295.20,251.43,299.23,267.53,275.42,268.30,116.10,271.49,139.58,271.60,166.58,244.65,116.72,276.20,129.28,181.28,282.57,139.36,270.80,160.25,270.58,110.22,240.68,304.33,289.17,132.29,286.09,298.04
512,292.83,295.80,275.54,347.50,354.29,373.36,214.52,372.97,197.89,365.33,125.38,281.82,164.02,349.22,304.99,263.52,308.97,188.00,325.47,285.45,321.29,173.88,301.27,124.88,323.20,154.23,402.76,348.80,203.46,356.26,225.93,299.23,143.04,309.62,370.54,318.90,189.95,255.88,124.85,376.43,365.16,146.43,329.41,364.41,369.38,188.38,281.26,259.41,302.30,135.18,260.64,125.46
1024,373.35,311.55,341.14,346.55,410.31,355.58,377.81,333.10,228.80,366.24,128.01,289.97,173.81,388.95,321.53,341.13,330.52,376.16,330.20,228.49,345.89,165.38,317.19,128.47,299.11,226.70,467.64,318.18,390.45,332.39,368.58,372.09,270.18,278.25,259.09,383.25,186.93,320.97,130.55,478.79,393.94,294.95,331.70,365.18,391.38,412.07,360.79,210.37,382.27,157.54,289.55,130.60
