size (MB),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,11.92,11.93,13.84,12.24,12.15,11.87,12.69,12.20,11.89,11.88,14.17,13.73,11.87,13.01,12.33,12.06,11.87,11.82,13.81,12.45,17.45,11.78,13.35,12.31,11.83,12.02,11.85,17.61,17.67,12.85,12.73,12.06,12.89,12.06,11.89,12.26,12.45,11.82,11.83,12.75,11.98,11.90,13.64,12.84,12.60,13.52,14.76,12.62,12.15,12.94,11.84,12.74,12.02,11.87,12.26,11.95
2,16.06,15.19,19.57,15.43,16.28,15.71,15.28,16.05,14.83,14.86,17.68,16.62,14.89,14.98,16.03,15.55,15.86,16.51,17.72,16.98,16.73,15.21,15.40,15.11,14.91,14.95,14.85,14.83,16.63,15.60,16.63,15.86,15.69,15.41,15.06,16.70,15.99,15.60,15.04,15.01,14.84,14.82,15.92,16.01,16.02,15.40,15.51,15.97,17.10,15.65,14.98,15.40,14.91,15.09,14.84,14.90
4,38.00,23.66,20.21,21.61,21.05,27.36,20.99,29.27,22.04,22.98,23.01,19.24,22.12,17.90,21.03,21.05,43.10,24.57,18.08,17.36,21.95,29.89,18.91,20.39,20.20,44.71,22.25,18.50,20.62,19.00,23.19,26.11,23.69,20.27,27.30,20.37,20.70,22.46,20.96,20.40,27.59,34.42,24.95,24.02,25.19,21.18,21.01,18.58,30.79,19.38,22.21,43.34,20.22,21.31,18.79,22.49
8,96.96,69.31,58.69,79.00,63.94,76.54,56.59,51.18,62.66,76.98,67.30,58.44,64.13,54.10,56.78,65.96,80.83,63.03,47.71,73.25,59.48,68.07,75.14,79.60,72.25,66.90,72.57,55.47,57.82,68.63,58.22,63.44,93.08,66.77,51.41,60.15,54.89,120.37,55.71,51.90,69.55,57.97,83.52,79.76,57.01,64.56,72.05,63.77,70.05,62.25,68.49,82.62,39.77,60.27,76.90,43.31
16,49.80,243.61,136.60,43.02,200.65,40.91,132.53,214.15,119.72,153.67,39.03,230.03,148.24,217.44,163.51,212.30,262.28,117.91,142.62,81.19,162.89,78.13,226.57,112.18,40.08,79.42,101.00,92.76,109.28,208.51,204.59,228.73,106.25,109.87,115.07,95.67,117.68,24.49,122.89,113.42,23.09,143.30,220.96,23.24,141.51,117.78,161.87,128.45,209.39,128.87,22.80,98.57,161.32,119.82,79.96,90.17
32,251.99,206.71,85.21,134.24,172.99,181.82,165.76,63.58,192.61,134.10,112.50,278.07,191.04,133.39,74.22,65.12,275.40,270.83,145.60,169.32,269.69,110.80,166.64,244.84,170.89,140.49,109.23,158.20,119.20,255.73,173.70,122.31,93.47,191.22,130.77,255.98,267.58,270.75,84.22,56.96,174.16,182.95,276.90,196.70,230.03,199.30,76.74,103.49,104.59,232.59,129.73,271.42,264.10,63.91,177.64,150.45
64,271.92,104.26,273.17,272.50,120.78,269.41,283.22,155.70,88.66,284.38,121.65,96.33,282.92,138.32,114.86,285.13,290.43,269.11,259.66,89.79,131.30,171.84,269.15,240.89,294.80,112.79,92.60,155.64,118.30,126.80,233.94,126.90,281.82,269.42,111.57,86.83,268.08,289.65,101.16,160.40,271.40,223.24,138.92,288.87,178.34,203.51,283.20,90.12,248.09,105.42,121.68,105.15,268.17,275.10,112.27,245.04
128,149.50,251.47,124.50,240.59,249.89,164.80,134.49,277.58,282.87,107.33,296.64,110.03,266.74,273.36,122.13,253.17,311.99,109.63,313.70,107.05,114.86,263.05,309.57,104.78,242.98,264.06,188.34,227.36,279.23,304.68,121.37,309.00,292.98,110.52,99.28,109.32,261.14,295.34,132.06,314.08,248.40,123.41,247.97,130.52,235.86,284.87,296.08,123.20,293.73,309.34,118.93,315.62,191.24,262.82,109.68,104.87
256,245.99,267.31,325.91,243.59,328.03,262.59,130.69,165.91,215.52,266.12,141.76,124.96,111.36,264.07,173.57,275.46,115.68,292.08,262.02,292.56,144.50,143.38,277.66,256.70,268.99,153.12,112.81,178.83,272.55,314.63,271.90,297.65,139.70,323.55,197.40,218.43,180.23,299.29,133.99,266.81,111.59,214.23,277.30,261.59,295.21,294.81,183.89,279.88,263.48,206.60,294.74,145.32,122.42,162.36,136.17,117.44
512,318.08,336.66,397.08,287.44,328.04,365.81,400.82,125.55,330.97,272.06,252.28,144.59,325.81,158.38,294.82,297.02,172.97,208.16,173.60,294.34,375.76,136.18,333.83,331.88,355.81,241.38,383.83,131.16,299.09,295.90,302.66,211.51,366.63,298.60,294.83,316.84,369.68,135.49,212.26,136.50,228.34,126.66,296.41,344.79,395.26,346.79,403.98,175.89,403.42,391.48,261.90,194.29,377.90,164.03,140.60,142.82
1024,331.24,412.35,348.81,419.35,335.72,446.70,391.56,287.61,396.30,185.70,264.82,132.89,313.64,163.35,456.90,337.05,327.97,305.99,432.73,353.48,453.52,176.87,424.10,138.93,331.79,145.54,362.28,197.79,341.92,333.11,351.48,386.25,329.49,335.16,362.16,300.14,366.37,296.84,171.17,126.89,361.31,256.77,323.66,321.61,409.21,350.21,420.73,345.23,390.61,285.42,252.09,304.69,390.72,157.09,315.59,131.85
