size (MB),0,1,2,3,4,5,6,7
1,10.42,10.34,10.35,10.36,10.31,10.36,10.34,10.39
2,14.97,14.56,14.84,15.04,14.90,14.95,14.89,15.14
4,14.23,14.18,14.23,14.23,14.23,14.24,14.22,14.24
8,14.94,15.32,14.94,14.96,14.96,14.96,14.92,14.95
16,18.62,17.96,18.76,18.76,18.63,18.87,18.46,18.50
32,36.54,34.98,35.56,36.09,35.68,35.76,35.12,36.69
64,71.75,68.30,80.48,67.77,67.99,70.35,69.68,68.35
128,110.38,87.84,97.78,89.28,97.43,89.04,109.65,87.85
256,104.29,96.85,119.44,95.44,95.87,108.62,121.92,95.25
512,132.56,103.30,104.99,101.57,102.15,111.91,121.13,102.71
1024,152.91,107.63,150.68,104.95,149.36,104.89,153.95,105.42
