rank,cpu_id,cpu_numa,memory_numa
0,1,0,0
1,9,0,0
2,2,0,0
3,10,0,0
4,3,0,0
5,11,0,0
6,4,0,0
7,12,0,0
8,5,0,0
9,13,0,0
10,6,0,0
11,14,0,0
12,7,0,0
13,15,0,0
14,17,1,1
15,25,1,1
16,18,1,1
17,26,1,1
18,19,1,1
19,27,1,1
20,20,1,1
21,28,1,1
22,21,1,1
23,29,1,1
24,22,1,1
25,30,1,1
26,23,1,1
27,31,1,1
28,33,2,2
29,41,2,2
30,34,2,2
31,42,2,2
32,35,2,2
33,43,2,2
34,36,2,2
35,44,2,2
36,37,2,2
37,45,2,2
38,38,2,2
39,46,2,2
40,39,2,2
41,47,2,2
42,49,3,3
43,57,3,3
44,50,3,3
45,58,3,3
46,51,3,3
47,59,3,3
48,52,3,3
49,60,3,3
50,53,3,3
51,61,3,3
52,54,3,3
53,62,3,3
54,55,3,3
55,63,3,3
